type,de,para,zmed,prec
0,1,-1,2.2819283,0.02
0,2,-1,0.183,0.02
0,3,-1,-0.942,0.02
0,4,-1,-0.328,0.02
0,6,-1,-0.112,0.02
0,7,-1,0.0,0.02
0,8,-1,0.0,0.02
0,9,-1,-0.375,0.02
0,10,-1,-0.15,0.02
0,12,-1,-0.021,0.02
0,14,-1,-0.129,0.02
1,1,-1,-0.752369,0.02
1,2,-1,0.9678514,0.02
1,3,-1,0.1112468,0.02
1,4,-1,0.019,0.02
1,6,-1,-0.0530326,0.02
1,7,-1,0.0,0.02
1,8,-1,0.2348024,0.02
1,9,-1,-0.189,0.02
1,10,-1,-0.078,0.02
1,12,-1,-0.006,0.02
1,14,-1,-0.03,0.02
2,1,2,1.5475929,0.02
3,1,2,-0.7096054,0.02
2,1,5,0.7343353,0.02
3,1,5,-0.0427636,0.02
2,3,2,-0.7052049,0.02
3,3,2,0.0145049,0.02
2,5,2,-0.3981979,0.02
3,5,2,-0.090904,0.02
2,4,3,0.241179,0.02
3,4,3,-0.0986013,0.02
2,4,5,-0.5575503,0.02
3,4,5,0.219987,0.02
2,9,4,-0.1872094,0.02
3,9,4,0.0070336,0.02
2,6,5,-0.4267978,0.02
3,6,5,-0.1105045,0.02
2,6,11,0.1079308,0.02
3,6,11,0.0186993,0.02
2,6,12,0.0509337,0.02
3,6,12,0.0064266,0.02
2,12,6,-0.0506399,0.02
3,12,6,-0.0058151,0.02
2,6,13,0.1559333,0.02
3,6,13,0.032346,0.02
2,7,8,0.0,0.02
3,7,8,-0.2266284,0.02
2,8,7,-0.0,0.02
3,8,7,0.2348024,0.02
2,9,7,-0.3281092,0.02
3,9,7,-0.1034339,0.02
2,10,9,-0.0784976,0.02
3,10,9,-0.0803892,0.02
2,10,11,-0.0715024,0.02
3,10,11,0.0023892,0.02
2,12,13,0.0296399,0.02
3,12,13,-0.0001849,0.02
2,14,13,-0.0681178,0.02
3,14,13,0.0005347,0.02
4,1,-1,1.03,0.01
