,t1,t2,t3,t4,t5,v3,v4,v5,tse,tsh,bvse,vsh
P1,33.2750866870908,-5.10976507582309,-4.99944826816974,-7.43716300650157,0,-1.54224914252295,-2.07744062300622,0,0,0,0,0
P2,-4.86273677517176,28.859288929907,0,0,-9.95129755854557,0,0,-0.612227459902619,-0.0581358497394582,-10.172999674231,9.98351848226374,-0.00253072738837809
P3,-4.91750530416545,0,38.1315623515872,-3.66280363459766,-29.5512534128241,12.4077456324769,-1.12385152277191,-10.2724918654143,0,0,0,0
P4,-7.1650331696599,0,-3.58769604849969,10.7527292181596,0,-1.33173184777873,3.0427850144076,0,0,0,0,0
P5,0,-9.95129755854557,-29.7860073641501,0,39.7411828850152,-9.61432715306452,0,10.3738891315547,-0.00387796231955334,0,-9.96992650382696,0
Q2,2.03262609280947,-3.36883459426985,0,0,0.610390777522911,0,0,-9.98124128239274,-1.01133042225332,0.00257450897219703,-0.573897825660989,-9.99999967977094
Q3,1.77574004139563,0,-13.1131696659163,1.09575523470261,10.241674389818,38.3318050488033,-3.75672167651042,-29.6401739346279,0,0,0,0
Q4,2.84189411795609,0,1.3210779929965,-4.16297211095259,0,-3.61662908114889,10.8310597762466,0,0,0,0,0
Q5,0,-0.610390777522911,9.53741253584001,0,-9.93697531315477,-30.0262171009577,0,29.9244257330491,1.00995355483767,0,-0.0382819577448503,0
Psp,0,-9.95129755854557,0,0,9.95517552086512,0,0,-0.400765072532357,-0.00387796231955334,0,-9.96992650382696,0
Qsp,0,-0.610390777522911,0,0,-0.399562777314759,0,0,9.95486908639406,1.00995355483767,0,-0.0382819577448503,0
IG,0,-10.2311355239704,0,0,-0.00387796231955334,0,0,1.01299253243498,0.0620138120590115,10.172999674231,-0.0135919784367768,0.00253072738837809
