PISCADA,PFSCADA,VSCADA,PISM,PFSM,VSM,PSEUDO
6,1-2,1,,,,
17, 4-11,4,,,,
18, 6-7,5,,,,
20, 8-5,6,,,,
22, 8-9,8,,,,
23, 12-14,10,,,,
25, 12-16,12,,,,
26, 12-117,15,,,,
28, 15-33,18,,,,
30, 19-20,19,,,,
31, 27-115,24,,,,
45, 32-113,25,,,,
46, 32-114,26,,,,
47, 34-37,27,,,,
48, 34-43,30,,,,
53, 40-41,31,,,,
59, 46-48,32,,,,
65, 49-50,34,,,,
66, 49-51,36,,,,
68, 56-57,37,,,,
69, 56-58,38,,,,
70, 61-62,40,,,,
72, 62-67,42,,,,
76, 65-68,44,,,,
77, 69-75,45,,,,
85, 70-71,46,,,,
88, 76-118,48,,,,
89, 77-78,49,,,,
90, 77-82,54,,,,
91, 80-96,55,,,,
95, 80-97,56,,,,
100, 85-86,59,,,,
103, 85-88,61,,,,
105, 89-90,62,,,,
107, 89-92,64,,,,
110, 92-93,65,,,,
113, 92-102,66,,,,
, 100-101,68,,,,
, 100-103,,,,,
, 100-106,,,,,
, 103-110,,,,,
, 105-106,,,,,
, 105-108,,,,,
, 12-2,,,,,
, 12-3,,,,,
, 6-5,,,,,
, 12-7,,,,,
, 10-9,,,,,
, 12-11,,,,,
, 15-13,,,,,
, 15-14,,,,,
, 19-15,,,,,
, 18-17,,,,,
, 31-17,,,,,
, 19-18,,,,,
, 34-19,,,,,
, 70-24,,,,,
, 72-24,,,,,
, 25-26,,,,,
, 32-27,,,,,
, 113-32,,,,,
, 36-34,,,,,
, 36-35,,,,,
, 40-37,,,,,
, 40-39,,,,,
, 42-40,,,,,
, 42-41,,,,,
, 46-45,,,,,
, 49-45,,,,,
, 69-47,,,,,
, 66-49,,,,,
, 69-49,,,,,
, 54-53,,,,,
, 59-54,,,,,
, 56-55,,,,,
, 61-59,,,,,
, 61-60,,,,,
, 59-63,,,,,
, 61-64,,,,,
, 66-65,,,,,
, 116-68,,,,,
, 74-70,,,,,
, 72-71,,,,,
, 73-71,,,,,
, 77-76,,,,,
, 80-77,,,,,
, 80-79,,,,,
, 99-80,,,,,
, 80-81,,,,,
, 85-83,,,,,
, 85-84,,,,,
, 89-85,,,,,
, 87-86,,,,,
, 89-88,,,,,
, 91-90,,,,,
, 92-91,,,,,
, 100-92,,,,,
, 100-94,,,,,
, 100-98,,,,,
, 100-99,,,,,
, 105-103,,,,,
, 110-103,,,,,
, 105-104,,,,,
, 107-105,,,,,
, 107-106,,,,,
, 110-109,,,,,
, 111-110,,,,,
, 112-110,,,,,
