PISCADA,PFSCADA,VSCADA,PISM,PFSM,VSM,PSEUDO
6,1-2,1,,,,
15,10-9,4,,,,
17,100-101,5,,,,
18,100-103,6,,,,
20,100-106,8,,,,
22,100-1100,10,,,,
23,100-92,12,,,,
25,100-94,15,,,,
26,100-98,18,,,,
28,100-99,19,,,,
30,103-110,24,,,,
31,105-103,25,,,,
40,105-104,26,,,,
45,105-106,27,,,,
46,105-108,30,,,,
47,107-105,31,,,,
48,107-106,32,,,,
53,110-103,34,,,,
59,110-109,36,,,,
65,111-110,37,,,,
66,112-110,38,,,,
68,113-32,40,,,,
69,116-68,42,,,,
70,12-11,44,,,,
72,12-117,45,,,,
76,12-14,46,,,,
77,12-16,48,,,,
85,12-2,49,,,,
88,12-3,54,,,,
89,12-7,55,,,,
90,15-13,56,,,,
91,15-14,59,,,,
92,15-33,61,,,,
95,17-1017,62,,,,
100,19-15,64,,,,
103,19-18,65,,,,
105,19-20,66,,,,
107,23-1023,68,,,,
110,25-26,,,,,
112,27-115,,,,,
113,31-17,,,,,
116,32-113,,,,,
1017,32-114,,,,,
1023,32-27,,,,,
1044,34-19,,,,,
1066,34-37,,,,,
1085,34-43,,,,,
1089,36-34,,,,,
1100,36-35,,,,,
23,4-11,,,,,
44,40-37,,,,,
85,40-39,,,,,
43,40-41,,,,,
83,42-40,,,,,
32,42-41,,,,,
18,44-1044,,,,,
67,46-45,,,,,
90,46-48,,,,,
104,49-45,,,,,
,49-50,,,,,
,49-51,,,,,
,54-53,,,,,
,56-55,,,,,
,56-57,,,,,
,56-58,,,,,
,59-54,,,,,
,59-63,,,,,
,6-5,,,,,
,6-7,,,,,
,61-59,,,,,
,61-60,,,,,
,61-62,,,,,
,61-64,,,,,
,62-67,,,,,
,65-68,,,,,
,66-1066,,,,,
,66-49,,,,,
,66-65,,,,,
,69-47,,,,,
,69-49,,,,,
,69-75,,,,,
,70-24,,,,,
,70-71,,,,,
,72-24,,,,,
,72-71,,,,,
,73-71,,,,,
,74-70,,,,,
,76-118,,,,,
,77-76,,,,,
,77-78,,,,,
,77-82,,,,,
,8-5,,,,,
,8-9,,,,,
,80-77,,,,,
,80-79,,,,,
,80-81,,,,,
,80-96,,,,,
,80-97,,,,,
,85-1085,,,,,
,85-84,,,,,
,85-86,,,,,
,85-88,,,,,
,87-86,,,,,
,89-1089,,,,,
,89-85,,,,,
,89-88,,,,,
,89-92,,,,,
,91-90,,,,,
,92-102,,,,,
,92-91,,,,,
,92-93,,,,,
,99-80,,,,,
