h,N2,N3,N4,N5,N6,N9,N10,N11,N12,N13,N14
1,0.215,0.934,0.474,0.075,0.111,0.293,0.089,0.035,0.06,0.134,0.148
2,0.217,0.942,0.478,0.076,0.112,0.295,0.09,0.035,0.061,0.135,0.149
3,0.21,0.913,0.463,0.074,0.109,0.286,0.087,0.034,0.059,0.131,0.144
4,0.204,0.885,0.449,0.071,0.105,0.277,0.085,0.033,0.057,0.127,0.14
5,0.199,0.864,0.438,0.07,0.103,0.27,0.083,0.032,0.056,0.124,0.137
6,0.193,0.839,0.426,0.068,0.1,0.263,0.08,0.031,0.054,0.12,0.133
7,0.183,0.795,0.403,0.064,0.094,0.249,0.076,0.03,0.051,0.114,0.126
8,0.18,0.782,0.397,0.063,0.093,0.245,0.075,0.029,0.051,0.112,0.124
9,0.177,0.77,0.391,0.062,0.092,0.241,0.074,0.029,0.05,0.11,0.122
10,0.18,0.779,0.396,0.063,0.093,0.244,0.074,0.029,0.05,0.112,0.123
11,0.178,0.771,0.391,0.062,0.092,0.241,0.074,0.029,0.05,0.11,0.122
12,0.181,0.784,0.398,0.063,0.093,0.246,0.075,0.029,0.051,0.112,0.124
13,0.191,0.829,0.42,0.067,0.099,0.26,0.079,0.031,0.054,0.119,0.131
14,0.203,0.881,0.447,0.071,0.105,0.276,0.084,0.033,0.057,0.126,0.139
15,0.202,0.876,0.445,0.071,0.104,0.274,0.084,0.033,0.057,0.126,0.139
16,0.206,0.896,0.455,0.072,0.107,0.281,0.086,0.033,0.058,0.128,0.142
17,0.205,0.89,0.452,0.072,0.106,0.279,0.085,0.033,0.058,0.128,0.141
18,0.209,0.907,0.46,0.073,0.108,0.284,0.087,0.034,0.059,0.13,0.143
19,0.208,0.903,0.458,0.073,0.107,0.283,0.086,0.034,0.059,0.129,0.143
20,0.205,0.892,0.452,0.072,0.106,0.279,0.085,0.033,0.058,0.128,0.141
21,0.207,0.899,0.456,0.072,0.107,0.281,0.086,0.033,0.058,0.129,0.142
22,0.204,0.885,0.449,0.071,0.105,0.277,0.085,0.033,0.057,0.127,0.14
23,0.209,0.907,0.46,0.073,0.108,0.284,0.087,0.034,0.059,0.13,0.144
24,0.216,0.936,0.475,0.076,0.111,0.293,0.089,0.035,0.061,0.134,0.148
