,type,de,para,zmed,prec
2,0,3,-1,-0.942,0.02
3,0,4,-1,-0.478,0.02
4,0,5,-1,-0.076,0.02
9,0,10,-1,-0.09,0.02
13,0,14,-1,-0.149,0.02
14,0,200,-1,0.0,0.02
15,0,600,-1,0.0,0.02
18,1,3,-1,0.044,0.02
19,1,4,-1,0.039,0.02
20,1,5,-1,-0.016,0.02
25,1,10,-1,-0.058,0.02
29,1,14,-1,-0.05,0.02
30,1,200,-1,0.0,0.02
31,1,600,-1,0.0,0.02
6,0,7,-1,0.0,1e-05
22,1,7,-1,0.0,1e-05
33,2,1,5,0.7476175,0.02
55,3,1,5,0.031742,0.02
36,2,2,5,0.4023536,0.02
58,3,2,5,0.0055246,0.02
35,2,2,4,0.5441106,0.02
57,3,2,4,-0.0260175,0.02
52,2,2,200,0.76902,0.02
74,3,2,200,-0.0338902,0.02
78,2,3,200,-0.7435444,0.02
100,3,3,200,0.0830221,0.02
40,2,4,9,0.1611223,0.02
62,3,4,9,-0.0018113,0.02
39,2,4,7,0.2811717,0.02
61,3,4,7,-0.0903677,0.02
46,2,7,9,0.2811717,0.02
68,3,7,9,0.0573404,0.02
90,2,9,7,-0.2811717,0.02
112,3,9,7,-0.0493196,0.02
89,2,8,7,0.0,0.02
111,3,8,7,0.1686904,0.02
48,2,9,14,0.0930475,0.02
70,3,9,14,0.0367034,0.02
49,2,10,11,-0.0358926,0.02
71,3,10,11,-0.0142337,0.02
42,2,6,11,0.071521,0.02
64,3,6,11,0.0335769,0.02
85,2,6,5,-0.4401915,0.02
107,3,6,5,-0.087912,0.02
53,2,6,600,0.0925,0.02
75,3,6,600,0.0328361,0.02
87,2,12,600,-0.0915091,0.02
109,3,12,600,-0.0261376,0.02
94,2,13,12,-0.0303058,0.02
116,3,13,12,-0.0099537,0.02
51,2,13,14,0.0576479,0.02
73,3,13,14,0.0168521,0.02
120,4,1,-1,1.06,0.01
129,4,10,-1,1.0520482,0.01
