h,N2,N3,N4,N5,N6,N9,N10,N11,N12,N13,N14 
1,0.126,0.188,-0.039,0.016,0.074,0.165,0.058,0.018,0.016,0.058,0.05
2,0.127,0.19,-0.039,0.016,0.075,0.166,0.058,0.018,0.016,0.058,0.05
3,0.123,0.184,-0.038,0.016,0.073,0.161,0.056,0.017,0.016,0.056,0.048
4,0.119,0.178,-0.037,0.015,0.07,0.156,0.054,0.017,0.015,0.054,0.047
5,0.116,0.174,-0.036,0.015,0.069,0.152,0.053,0.017,0.015,0.053,0.046
6,0.113,0.169,-0.035,0.014,0.067,0.148,0.052,0.016,0.014,0.052,0.045
7,0.107,0.16,-0.033,0.013,0.063,0.14,0.049,0.015,0.013,0.049,0.042
8,0.105,0.158,-0.032,0.013,0.062,0.138,0.048,0.015,0.013,0.048,0.042
9,0.104,0.155,-0.032,0.013,0.061,0.136,0.047,0.015,0.013,0.047,0.041
10,0.105,0.157,-0.032,0.013,0.062,0.137,0.048,0.015,0.013,0.048,0.041
11,0.104,0.155,-0.032,0.013,0.061,0.136,0.047,0.015,0.013,0.047,0.041
12,0.106,0.158,-0.032,0.013,0.062,0.138,0.048,0.015,0.013,0.048,0.042
13,0.112,0.167,-0.034,0.014,0.066,0.146,0.051,0.016,0.014,0.051,0.044
14,0.119,0.178,-0.036,0.015,0.07,0.155,0.054,0.017,0.015,0.054,0.047
15,0.118,0.177,-0.036,0.015,0.07,0.154,0.054,0.017,0.015,0.054,0.047
16,0.121,0.181,-0.037,0.015,0.071,0.158,0.055,0.017,0.015,0.055,0.048
17,0.12,0.179,-0.037,0.015,0.071,0.157,0.055,0.017,0.015,0.055,0.047
18,0.122,0.183,-0.038,0.015,0.072,0.16,0.056,0.017,0.015,0.056,0.048
19,0.122,0.182,-0.037,0.015,0.072,0.159,0.056,0.017,0.015,0.056,0.048
20,0.12,0.18,-0.037,0.015,0.071,0.157,0.055,0.017,0.015,0.055,0.047
21,0.121,0.181,-0.037,0.015,0.072,0.158,0.055,0.017,0.015,0.055,0.048
22,0.119,0.178,-0.037,0.015,0.07,0.156,0.054,0.017,0.015,0.054,0.047
23,0.122,0.183,-0.038,0.015,0.072,0.16,0.056,0.017,0.015,0.056,0.048
24,0.126,0.189,-0.039,0.016,0.075,0.165,0.058,0.018,0.016,0.058,0.05
