,dx,dz,method,caso
0,0.982811176838577,1.0,LM,0
1,1.0757891454679953,0.15353393610040048,LM,0
2,1.846301391844364,0.007520924454118993,LM,0
3,1.889700155505215,0.0069533772379955575,LM,0
4,1.9910202866603206,0.005582140176966499,LM,0
5,1.7348575731963551,0.004934242485049417,LM,0
6,1.579619384011524,0.004896628860424258,LM,0
7,1.4097509821521985,0.0048811604718825485,LM,0
8,1.246668988381274,0.00480600289961351,LM,0
9,0.9432829785028916,0.005400245263753509,LM,0
10,0.7108556710863844,0.005155332535290385,LM,0
11,0.35839463304570046,0.005079960478525623,LM,0
12,0.010393008040795335,0.0024839872949171085,LM,0
13,6.40550624577485e-05,1.2927678478829525e-06,LM,0
14,1.3307960938883963e-06,4.557904753418586e-11,LM,0
0,5.0507324808315435,1.0,GNbc,0
1,4.172573496673272,0.19792367240356562,GNbc,0
2,1.1770101610692296,0.21123353915002158,GNbc,0
3,0.11067283065968014,0.027193663444350053,GNbc,0
4,0.009085375044074957,0.0004792065420316882,GNbc,0
5,0.0001573242793688569,7.518365605685992e-06,GNbc,0
6,2.7853764004584907e-07,2.733349742760758e-09,GNbc,0
0,4.968956524876742,1.0,GN,0
1,4.26178121866075,0.19830736739255503,GN,0
2,1.2628145006478977,0.20238515576014598,GN,0
3,0.11298715949022457,0.02651237992854091,GN,0
4,0.008128139096844416,0.00040828443965072037,GN,0
5,0.00012153130948576324,5.93275552517244e-06,GN,0
6,2.1167241312987578e-07,1.6427850235314568e-09,GN,0
0,0.9707614959107355,1.0,LM,1
1,0.8865956290151961,0.1555919148494632,LM,1
2,2.025397919044571,0.006565657586024689,LM,1
3,2.17527914821166,0.005751883518280582,LM,1
4,2.1067721422704593,0.004600216117954448,LM,1
5,1.771107359254207,0.004421860699389993,LM,1
6,1.6051027963202016,0.004552614992238216,LM,1
7,1.4322795845038336,0.0046330484750021494,LM,1
8,1.268546297276015,0.004611924396161108,LM,1
9,0.9651857017132089,0.005240278718875246,LM,1
10,0.7321363355636278,0.005005716989808903,LM,1
11,0.3744018345970865,0.004902086851744769,LM,1
12,0.009982542392626803,0.0023895441651301474,LM,1
13,4.0679581037757616e-05,1.7357754704099853e-06,LM,1
14,3.6055201611677185e-07,3.34186436940928e-11,LM,1
0,5.0307495133085105,1.0,GNbc,1
1,4.258276515739199,0.19122113477332844,GNbc,1
2,1.1576276381912185,0.24694595313354833,GNbc,1
3,0.11017598230331847,0.04216865782354257,GNbc,1
4,0.01245518807511313,0.0008023584971380931,GNbc,1
5,0.0004142399244117795,1.3530698757271506e-05,GNbc,1
6,4.2964920950477396e-07,1.7881431898090004e-08,GNbc,1
0,4.961152494894046,1.0,GN,1
1,4.351418676784456,0.19285124203796516,GN,1
2,1.2419487054694687,0.23513657031307736,GN,1
3,0.10288367128169003,0.038279834337599954,GN,1
4,0.010198509570287314,0.0006257479908216132,GN,1
5,0.00022013911160037513,9.609140317141015e-06,GN,1
6,2.478217826055523e-07,5.17223534732807e-09,GN,1
0,0.9277414533270733,1.0,LM,2
1,0.7196972195529977,0.1563238884620123,LM,2
2,2.175009495178755,0.013756943593725224,LM,2
3,2.7992482941848045,0.01160115125372944,LM,2
4,3.530030223076394,0.010229413928039284,LM,2
5,3.7512835465807326,0.008544867420440673,LM,2
6,3.855671966971447,0.007876123231154854,LM,2
7,3.7062196360079285,0.007326544918022478,LM,2
8,3.4341364167854516,0.00681609709911058,LM,2
9,3.1147188409342705,0.006296103116546766,LM,2
10,2.7890168434434104,0.005755451993588447,LM,2
11,2.134846716515164,0.005366897765680975,LM,2
12,1.6448461097355125,0.004689968513137442,LM,2
13,1.2705939802060633,0.0038977927891206163,LM,2
14,0.6800379782868934,0.0034724925785393165,LM,2
15,0.08798143545086202,0.0029313707969648166,LM,2
16,0.015723139570271015,3.200395795639812e-05,LM,2
17,0.016726036840208992,4.626989303142971e-06,LM,2
18,0.010139736077825083,2.3201707079104287e-06,LM,2
19,0.0093593112888238,2.208214521845417e-06,LM,2
20,0.00871206869578774,2.0744727079890494e-06,LM,2
21,0.008146565515071667,1.927154101954344e-06,LM,2
22,0.007636266400094357,1.7734118159418157e-06,LM,2
23,0.007166989987654202,1.6190480943334356e-06,LM,2
24,0.006730829228387176,1.4684471999153519e-06,LM,2
25,0.006323123278729381,1.3246893312103875e-06,LM,2
26,0.005564988728434342,1.4485647723752994e-06,LM,2
27,0.004895387518201254,1.32685535516461e-06,LM,2
28,0.004305069949073552,1.1256338528322262e-06,LM,2
29,0.0037864480233074757,9.182912115829959e-07,LM,2
30,0.0033317554234595643,7.333110340416412e-07,LM,2
31,0.002933455098175222,5.78674836605081e-07,LM,2
32,0.0025845710291644754,4.5369204213603765e-07,LM,2
33,0.0019766691048165876,5.109756936718535e-07,LM,2
34,0.0015142456659120425,2.9982097679323173e-07,LM,2
0,8.822386963552779,1.0,GNbc,2
1,2.1431848200601666,0.22972454330310493,GNbc,2
2,2.1886443389181323,0.08554162747495268,GNbc,2
3,0.37851869857971027,0.028495975266060108,GNbc,2
4,0.07137701797978457,0.006013981176952453,GNbc,2
5,0.004670858524200456,0.0002587471950519293,GNbc,2
6,1.222907410443762e-05,1.6497224429877981e-06,GNbc,2
7,7.281941973660162e-08,1.1281145355884837e-11,GNbc,2
0,8.846173368674064,1.0,GN,2
1,4.324843815622643,0.2346266141648014,GN,2
2,0.9445012573097847,0.3197681806077935,GN,2
3,1.0651433006123945,0.0345340656579691,GN,2
