,dx,dz,method,caso
0,1.3823258519669241,1.0,LM,0
1,0.5157565334176787,0.48301359259880006,LM,0
2,0.8465625856229761,0.05163239290628446,LM,0
3,1.9002286216183162,0.006074197103769662,LM,0
4,0.4878680597023622,0.02154611955936318,LM,0
5,0.3879975079350071,0.0009993872436562827,LM,0
6,0.006944077821061446,0.001551075704387234,LM,0
7,7.306919666160814e-05,2.6260847707817654e-06,LM,0
8,1.0932215081127497e-06,5.375976130439957e-11,LM,0
0,4.889068169566563,1.0,GNbc,0
1,3.135286062653511,0.6561648147837078,GNbc,0
2,0.6501312670902053,0.08016781866760245,GNbc,0
3,0.3682947988882801,0.006470796039449767,GNbc,0
4,0.014194809714097239,0.005616285680386868,GNbc,0
5,0.00042159958288582255,7.320211544941874e-06,GNbc,0
6,7.386130583563346e-07,4.448236729786091e-09,GNbc,0
0,4.902677649202056,1.0,GN,0
1,3.134713333068645,0.6577264032974839,GN,0
2,0.6509936282482964,0.08025199797129456,GN,0
3,0.3667877511717452,0.006587718755575031,GN,0
4,0.01406393685562285,0.005536390404732617,GN,0
5,0.0004149729841116432,7.2173897596255715e-06,GN,0
6,7.386151414385256e-07,4.303748665370099e-09,GN,0
0,1.4093943486500362,1.0,LM,1
1,0.5092664823569497,0.5081609183034747,LM,1
2,0.8526643670416124,0.052312447408334864,LM,1
3,1.8183581775006725,0.006519978081795652,LM,1
4,0.5178397263144374,0.01783372751357425,LM,1
5,0.4155509713638025,0.0011268382574051402,LM,1
6,0.009708570274079991,0.0015639947098101605,LM,1
7,9.484882016889735e-05,3.189042061019372e-06,LM,1
8,3.3316589672885803e-07,9.794061808496248e-11,LM,1
0,4.441148483148731,1.0,GNbc,1
1,2.916516924246083,0.659886304057542,GNbc,1
2,0.7976792679726787,0.07860278023588133,GNbc,1
3,0.1568843502406949,0.021675645943087893,GNbc,1
4,0.01860167422317971,0.0010146058187283243,GNbc,1
5,0.0009737536621624484,2.2328298530797817e-05,GNbc,1
6,8.823825701737376e-07,6.779324255318715e-08,GNbc,1
0,4.4623019349718085,1.0,GN,1
1,2.915908423981049,0.6603376925915809,GN,1
2,0.7981846959371875,0.07861779430339838,GN,1
3,0.1578979318120894,0.02187029635311319,GN,1
4,0.018617788769424225,0.001047997213226747,GN,1
5,0.0009933154301347566,2.2311590988863225e-05,GN,1
6,8.998923592359787e-07,7.044069167434375e-08,GN,1
0,1.503586251089661,1.0,LM,2
1,1.4532481788387155,0.5270750442434278,LM,2
2,1.020909882924818,0.06528049507238678,LM,2
3,2.7519831303688482,0.014489370053741006,LM,2
4,1.3374737491500672,0.03759949722448355,LM,2
5,1.9078019013165934,0.006003987021374686,LM,2
6,0.45652860999043066,0.012646354791222742,LM,2
7,0.8921818373358968,0.003363730357516992,LM,2
8,2.2458168989669764,0.05357940235001942,LM,2
9,0.15415105543641625,0.030695112246406045,LM,2
10,0.08565661276216084,0.0008940125181190795,LM,2
11,0.013262045341300857,0.00180758597091717,LM,2
12,0.0001099119726065704,6.065561704080797e-06,LM,2
13,2.6709596968632596e-07,4.0459146485643914e-10,LM,2
0,7.139412740042654,1.0,GNbc,2
1,2.5685411811044965,1.0637620476416334,GNbc,2
2,1.2732670258684016,0.15830717032507252,GNbc,2
3,1.098056438606204,0.134445193735497,GNbc,2
4,0.14405714426778704,0.06318593584545873,GNbc,2
5,0.013056682097212146,0.0012821786971834728,GNbc,2
6,0.00021279922391352678,1.4374708155516816e-05,GNbc,2
7,1.1825180713289322e-06,5.7623000927652183e-11,GNbc,2
0,7.173867449776244,1.0,GN,2
1,2.578302125499,1.0644655683108883,GN,2
2,2.5503154332579854,0.15818558606849262,GN,2
3,0.4781176933870967,0.22468713237096805,GN,2
4,0.09792148688502982,0.017274592371489317,GN,2
5,0.07542631436785831,0.0010922651246986518,GN,2
6,0.000575078156674961,0.0001899902051422888,GN,2
7,9.880554549142716e-07,2.649247156491473e-08,GN,2
0,2.2175924083727465,1.0,LM,3
1,0.7452624666602086,0.6084997485906913,LM,3
2,1.0998597631365936,0.0605369651289637,LM,3
3,2.981950641788926,0.014153869229290197,LM,3
4,1.1683763025710818,0.03845202246850406,LM,3
5,2.1909694246831797,0.003640036951372446,LM,3
6,1.8093970817401344,0.04970641103741218,LM,3
7,0.5081586617545888,0.047771490005486666,LM,3
8,0.08969658586910736,0.0612910673618883,LM,3
9,0.01608610200725522,0.0007388505464032591,LM,3
10,0.0002780306869360696,1.1211571368750024e-05,LM,3
11,8.928085908531297e-07,4.10334459522564e-09,LM,3
0,7.13134831510023,1.0,GNbc,3
1,2.5099824324636817,1.1050896384645126,GNbc,3
2,1.1945803242058355,0.15673426080118727,GNbc,3
3,0.9213411258913137,0.12927996843516845,GNbc,3
4,0.1170049554216913,0.04924884728736375,GNbc,3
5,0.011543478424856523,0.0005483215479688485,GNbc,3
6,0.00011863301603675508,1.1319798035279453e-05,GNbc,3
7,6.316064991137251e-07,3.533119718365844e-10,GNbc,3
0,7.18548372331148,1.0,GN,3
1,2.5235815735446385,1.105838041225587,GN,3
2,2.398575461440676,0.15668546524932858,GN,3
3,0.6784387689767635,0.2162760778616724,GN,3
4,0.16075006392040114,0.015491095607900284,GN,3
5,0.06889469856682966,0.0027375350248652745,GN,3
6,0.0004969045301809903,0.00016779061233933542,GN,3
7,2.080581163543927e-06,1.6144295269751483e-08,GN,3
