,dx,dz,method,caso
0,0.80885258834455,1.0,LM,0
1,1.0710291252816708,0.17410288555647493,LM,0
2,0.7484972880417495,0.09070512930986765,LM,0
3,0.9419451673287347,0.03305099393762287,LM,0
4,1.201842717486463,0.010511301726940437,LM,0
5,1.1464164185052284,0.006929022789384824,LM,0
6,1.0114897323181395,0.0048906699844316545,LM,0
7,0.6164472070428416,0.004355561239590739,LM,0
8,0.3083327552572755,0.0036054147200872914,LM,0
9,0.030552212530056577,0.0021455480009296376,LM,0
10,0.004194117483103205,1.8489215595613616e-05,LM,0
11,0.00010037573171806815,2.314559958226757e-07,LM,0
12,1.2960616994779697e-07,1.3381961430291388e-10,LM,0
0,3.4374067782995565,1.0,GNbc,0
1,1.2861960291506764,0.4092032004819122,GNbc,0
2,0.5131506086979889,0.0967833251826128,GNbc,0
3,0.04666979806586777,0.006925612677417431,GNbc,0
4,0.0028279875731088673,0.00013676217670749175,GNbc,0
5,6.638695783425367e-05,1.6905711497872822e-07,GNbc,0
6,2.1239684831743707e-06,2.9927087292796086e-11,GNbc,0
0,3.437632590257592,1.0,GN,0
1,1.2451001945460636,3.3807658763044914,GN,0
2,0.5312224607171381,0.5392022654486681,GN,0
3,0.2212555099864317,0.4134925220478471,GN,0
4,0.540681481073667,0.044735205634368225,GN,0
5,0.600366908500587,0.0027794267290024996,GN,0
6,0.653361668928459,0.004750950873255349,GN,0
7,1.3882205524821223,0.00014915809669873516,GN,0
8,3.5137142935217645,2.4791275170980013e-05,GN,0
9,11.393210563374698,1.545273985277267e-06,GN,0
10,61.39432962745438,7.844872326314957e-08,GN,0
11,973.9692778936433,7.1324131454792205e-09,GN,0
12,160579.09631358154,6.050326175462786e-09,GN,0
0,0.8019977914997185,1.0,LM,1
1,0.9785307080240099,0.1774814988167428,LM,1
2,0.8763112152201994,0.07579425136591919,LM,1
3,0.6890345437961957,0.05851140899126787,LM,1
4,1.463256255949728,0.006519318447661299,LM,1
5,1.0991757512606082,0.0073800659073215815,LM,1
6,0.966877947810596,0.0052463744113043775,LM,1
7,0.938305142193528,0.004378114532214839,LM,1
8,0.4050619164083466,0.04555438519574424,LM,1
9,0.4076285998480852,0.0019375136685746816,LM,1
10,0.17508852312233378,0.0017324299933120042,LM,1
11,0.011628737828464015,0.0009054259321095718,LM,1
12,1.5303882082232098e-05,4.6565669659820084e-06,LM,1
13,2.907692107932919e-07,1.0691981691287128e-11,LM,1
0,3.581671634069448,1.0,GNbc,1
1,1.308974377841048,22.589355473954605,GNbc,1
2,0.5415401000793237,3.2493445459259216,GNbc,1
3,0.050068517651569215,0.4859138065572172,GNbc,1
4,0.0942245395992972,0.07349786486472756,GNbc,1
5,0.09563458702547221,0.012006456671369509,GNbc,1
6,0.04400533630442606,0.002220905942798391,GNbc,1
7,0.008403051170677616,0.00026896099648350227,GNbc,1
8,0.00027642262733504705,6.876378904043858e-06,GNbc,1
9,5.807799472204895e-06,5.141430548198514e-09,GNbc,1
0,3.580234869748478,1.0,GN,1
1,1.1683652226290164,30.362554215302083,GN,1
2,0.5305581257704995,4.486779062145283,GN,1
3,0.9156493055935231,0.6740015007309524,GN,1
4,0.24444516909832106,0.004273491463520309,GN,1
5,0.3686375454794258,0.0011152825858418438,GN,1
6,0.7512269200521899,0.00032093687721202455,GN,1
7,1.7139546997320378,6.867001944895807e-05,GN,1
8,4.548950565122304,7.117340748750681e-06,GN,1
9,16.20993945810966,4.878356450479907e-07,GN,1
10,106.46957777810108,2.3574328244811297e-08,GN,1
11,2589.6152567673203,5.023749373948998e-09,GN,1
0,0.8073049118545551,1.0,LM,2
1,0.8944672206422691,0.18242664448020435,LM,2
2,0.9402575531847231,0.07155239425630665,LM,2
3,0.6217107586945473,0.07148483195643002,LM,2
4,1.2933001402497644,0.01623219495699282,LM,2
5,1.4218696980144079,0.003933215290440342,LM,2
6,0.3603719478593836,0.018745597617840684,LM,2
7,0.2300415396772879,0.01730409162679376,LM,2
8,0.2678242186235486,0.015297566586292327,LM,2
9,0.1795821231903994,0.026582146843674763,LM,2
10,0.15206561447785896,0.05066939482081337,LM,2
11,0.24885229739382903,0.038691897690039834,LM,2
12,4.377729920444862,0.0012720924766246246,LM,2
13,1.2206261065473376,0.0022953866840481557,LM,2
14,0.5903989962111817,0.0026769305212864403,LM,2
15,0.21684193313048508,0.0020179223247651827,LM,2
16,0.08557260102007394,0.0011373011897977798,LM,2
17,0.004210499723713096,0.00019767389803010876,LM,2
18,3.7941724768349463e-05,7.098413429497465e-06,LM,2
19,5.747866297547338e-07,1.4808023126989732e-08,LM,2
0,4.2253387688719535,1.0,GNbc,2
1,102.15972398702257,0.4435986500061784,GNbc,2
2,1.401538910859925,1.094887954193805,GNbc,2
3,3.5176930639493484,0.30451889987656533,GNbc,2
4,21.147619176609787,0.13837756327225995,GNbc,2
5,1.5802288213263955,0.17197511934552256,GNbc,2
6,1.6120429950409125,0.08029293542022237,GNbc,2
7,1.511177886506367,0.1382906566831608,GNbc,2
8,1.7878027808318102,0.024680251328064125,GNbc,2
9,3.9142913946426936,0.008276745461266779,GNbc,2
10,9.677148832156242,6.680857985758738e-05,GNbc,2
11,29.747609806748322,5.1670699023236774e-08,GNbc,2
12,143.28079119055042,7.013772437535871e-10,GNbc,2
13,1785.8360723288374,1.4015955786641372e-10,GNbc,2
0,4.207848492666317,1.0,GN,2
1,54.084857953283766,657.7004604863452,GN,2
2,2.3716324456858855,74.75584505728543,GN,2
3,1.2921813720530952,9.869067811434697,GN,2
4,2.5801939983238253,1.378601606531454,GN,2
5,1.2016525542442424,7087.978822818786,GN,2
6,4.352059664848242,872.5864889925642,GN,2
7,1.1723749620108963,106.34008693815252,GN,2
8,0.5136735091769142,12.491383342847328,GN,2
9,0.42373443766728447,1.3161914933867067,GN,2
10,0.1578809124510119,0.09807957117812748,GN,2
11,0.18866619497989065,0.017754658519966368,GN,2
12,0.06338927259526611,0.053184783330132566,GN,2
13,0.019387607733645385,0.01213769420520692,GN,2
14,0.006417297986192944,0.0013675056523669226,GN,2
15,0.0008908194016011356,0.00031576934281615766,GN,2
16,2.844252861167271e-05,8.420973659343405e-06,GN,2
17,2.1779953244679966e-07,1.4551924637318795e-08,GN,2
0,0.8112463989564473,1.0,LM,3
1,0.8822126869743815,0.1849034010731052,LM,3
2,0.9529986149300673,0.07467641082980576,LM,3
3,0.7084280663665737,0.05826989252842065,LM,3
4,1.3534783251831988,0.013423798271379019,LM,3
5,1.7715922473628598,0.00948133357588347,LM,3
6,2.090630479095985,0.007795661817739771,LM,3
7,2.2346293493046563,0.005944470212303186,LM,3
8,2.1442846897330203,0.005374593093753644,LM,3
9,2.2134900492213476,0.005209637699883655,LM,3
10,2.2988265654925253,0.005792650715937123,LM,3
11,2.249335152046947,0.00607023436342497,LM,3
12,1.8886100224391076,0.006050514055946125,LM,3
13,1.488854951822076,0.0058337720677779726,LM,3
14,0.9750956600509487,0.00593095598955265,LM,3
15,0.4641181186874509,0.005610713055093787,LM,3
16,0.017312255976368682,0.0015648293150761455,LM,3
17,0.0003071860347891995,5.173882973295503e-06,LM,3
18,4.051032513485501e-06,7.923495857695995e-10,LM,3
0,4.492363075193036,1.0,GNbc,3
1,4.03398218851685,0.4787744596714645,GNbc,3
2,3.12036643240339,1.6947144087958241,GNbc,3
3,1.6357987024757852,0.3031241138201514,GNbc,3
4,4.0908588706425935,0.047092083821694455,GNbc,3
5,2.3427357264756155,0.03553562928094845,GNbc,3
6,8.047788718170406,0.01223290150807715,GNbc,3
7,120.81599834091882,0.006664792924295476,GNbc,3
8,616.9741596750346,0.0031269342038987282,GNbc,3
9,157712.38185243018,0.0016586795733380373,GNbc,3
0,4.481428924701843,1.0,GN,3
1,2.6083338337592825,0.48857062397718437,GN,3
2,2.614995278072198,0.25446524159152195,GN,3
3,6.7557438153638785,0.1221773688866232,GN,3
4,1.4966196016633462,0.029983056505763113,GN,3
5,0.9354952071195788,0.026564808787495005,GN,3
6,0.1659492991739106,0.013256472834914582,GN,3
7,0.05294151700216824,0.0019442665896433876,GN,3
8,0.0003172379328886546,5.7214760386409895e-05,GN,3
9,4.3363267966662507e-07,1.6066223716339074e-08,GN,3
