,dx,dz,method,caso
0,0.9293816432138219,1.0,LM,0
1,0.5022372927386957,0.26489550103095133,LM,0
2,0.9954048960075038,0.02285263624306028,LM,0
3,1.2735208818029375,0.011749109503129223,LM,0
4,1.2492369220926125,0.005715646638314842,LM,0
5,1.3926551606374067,0.00585989510549748,LM,0
6,1.466393435389193,0.0054635075691566596,LM,0
7,1.4971070598960474,0.005794400619277579,LM,0
8,1.2620166460668458,0.004128037473786693,LM,0
9,0.9645718131721118,0.0034594041425543153,LM,0
10,0.7058062408630024,0.0030146638457597395,LM,0
11,0.316909388236514,0.002816294409506772,LM,0
12,0.017993319105475452,0.001460384796146151,LM,0
13,0.00024674796716689704,1.188046770105543e-05,LM,0
14,6.828176769774099e-06,5.742190758646411e-10,LM,0
0,2.8994611522132026,1.0,GNbc,0
1,1.566272542717974,0.1848855357957548,GNbc,0
2,0.6910068787618131,0.05517877084265785,GNbc,0
3,0.08853786128245018,0.010398873280636316,GNbc,0
4,0.005101302839993684,0.0003741582896643561,GNbc,0
5,1.83151341274255e-05,1.022386881281758e-06,GNbc,0
6,3.8112704053174773e-07,9.45160888898222e-12,GNbc,0
0,2.8931416692105034,1.0,GN,0
1,1.560891516794893,0.18509649439459083,GN,0
2,0.6915037495224934,0.05527945876805588,GN,0
3,0.08867712689395475,0.010391519216427964,GN,0
4,0.005102014918040312,0.00037459899297622904,GN,0
5,1.8437265963606e-05,1.0261536149925482e-06,GN,0
6,3.8400561709650844e-07,9.523251148999786e-12,GN,0
0,0.9457171874952809,1.0,LM,1
1,0.4818779505891576,0.2785797058231357,LM,1
2,0.9930071742294861,0.023232272775682853,LM,1
3,0.5883901571993275,0.0368982891393064,LM,1
4,1.2391288520620356,0.0032850486735612884,LM,1
5,1.2849573444838867,0.003095871748772305,LM,1
6,0.8701294262513766,0.00424317486527852,LM,1
7,0.47908924126591823,0.021772284560938188,LM,1
8,0.38127575986892065,0.0028101502680233288,LM,1
9,0.17452443476867094,0.002023051326093061,LM,1
10,0.011573116047335432,0.0008685751652478622,LM,1
11,7.190935804740164e-05,4.029987478740809e-06,LM,1
12,1.5520968371663073e-06,5.537268763232471e-11,LM,1
0,2.8913361667664295,1.0,GNbc,1
1,1.6588151122748216,115.97933731847884,GNbc,1
2,0.7464980256531242,15.408165995140163,GNbc,1
3,0.12474920706816903,2.0776636338457246,GNbc,1
4,0.042556590462247516,0.2882886592931664,GNbc,1
5,0.11278587890658716,0.04080172270179563,GNbc,1
6,0.0635402154811283,0.006685296049392915,GNbc,1
7,0.0203044214699509,0.0011409256440354741,GNbc,1
8,0.002345678635824546,9.707522941467896e-05,GNbc,1
9,4.597157679177665e-05,1.0410548671677622e-06,GNbc,1
10,1.2036465316413887e-06,1.3836820472513062e-10,GNbc,1
0,2.887216340962788,1.0,GN,1
1,1.651845662986576,31.750878154293076,GN,1
2,0.751188384824673,3.9264985579290492,GN,1
3,0.1362495074528291,0.4505791376072587,GN,1
4,0.1295270934826108,0.05650172952726164,GN,1
5,0.3002865283245534,0.009808679289146098,GN,1
6,0.9232380424884328,0.002162538346188997,GN,1
7,0.9465875589189124,0.002322970192324899,GN,1
8,0.09103886544953696,0.015421598013988938,GN,1
9,0.007581939646152965,0.002566586768510911,GN,1
10,0.0008934249925565826,0.0003126021700468985,GN,1
11,2.836053790591865e-05,9.00107012524222e-06,GN,1
12,1.4217418710081132e-07,8.453709188273576e-09,GN,1
0,0.9858350705188581,1.0,LM,2
1,0.4796198784915097,0.2921247701746488,LM,2
2,1.0489945638828486,0.023495503017692574,LM,2
3,1.334898436680033,0.015880568990622356,LM,2
4,1.2395879742650828,0.011474502072106083,LM,2
5,0.9405656030323563,0.01163406064584242,LM,2
6,1.0914792876238395,0.003282650476221877,LM,2
7,1.1468412629996978,0.0030428119098155223,LM,2
8,2.293460271092604,0.003924252274147498,LM,2
9,2.451916704250317,0.004535077503601801,LM,2
10,2.325775953660872,0.00527914515928905,LM,2
11,2.223340400540792,0.00590428240982059,LM,2
12,2.2599530128508443,0.006290185468435688,LM,2
13,2.2970315862885125,0.006449533428998811,LM,2
14,2.1909119770063046,0.006442871108172048,LM,2
15,2.006931766758244,0.006327124649140434,LM,2
16,1.8604468995474364,0.006142994012930602,LM,2
17,1.4965734470210201,0.005992751718112192,LM,2
18,1.1801847187592298,0.005596886379701863,LM,2
19,0.5645455669343565,0.005082897627375761,LM,2
20,0.12870763260094653,0.003990159304599772,LM,2
21,0.009519747982774517,0.0005356044412326621,LM,2
22,4.550600884328761e-05,9.837167047333864e-07,LM,2
23,8.755270028827049e-07,1.0363728064674532e-11,LM,2
0,3.0616188947376464,1.0,GNbc,2
1,3.313017109577684,0.15340515819107836,GNbc,2
2,5.79925488268011,0.09978080903862328,GNbc,2
3,3.158443935186301,0.11634325701306773,GNbc,2
4,187.87164411512296,0.12933744359870306,GNbc,2
5,1.6596503460464465,0.11266285781161414,GNbc,2
6,0.2780736231399893,0.09509440213766392,GNbc,2
7,0.15036280111000333,0.03080972280071269,GNbc,2
8,0.003265156003536221,0.002769052646831149,GNbc,2
9,0.001501212231176447,0.0004307596037396886,GNbc,2
10,0.0002116143757473339,4.447054025211735e-05,GNbc,2
11,3.5597278576554846e-06,6.900215030818011e-07,GNbc,2
0,3.063713646193852,1.0,GN,2
1,6.418365677777103,0.1537159294567234,GN,2
2,5.671341980565951,11.804826528796719,GN,2
3,12.100784772230691,1.6858012791339034,GN,2
4,2.257222102356682,0.2507575822684001,GN,2
5,1.250614288689231,0.11085393030459834,GN,2
6,6.889011510089487,0.019002480772624508,GN,2
7,2.074634188191562,0.02346535828213127,GN,2
8,2.1300705049628594,0.026143187348270067,GN,2
9,2.9461849506495286,3.435212346704769,GN,2
10,6.404169628094539,0.4358652133255543,GN,2
11,17.54804592655298,0.060498045082692714,GN,2
12,66.62721344685134,0.010046527592640148,GN,2
13,500.9449952985816,0.0016720127126978344,GN,2
14,16333.360772183654,0.00015262635799912942,GN,2
0,1.0073257743777557,1.0,LM,3
1,0.4936230350898656,0.29701345366372633,LM,3
2,1.0532502176504357,0.02464030539280662,LM,3
3,1.2296435389256943,0.01355414648399946,LM,3
4,1.1430576631976008,0.011874469298203716,LM,3
5,1.3664521025722822,0.005407635963945819,LM,3
6,1.3794257109970625,0.006346297741893239,LM,3
7,1.4880880371503784,0.00670413939696235,LM,3
8,1.7317995982150143,0.006602322072037674,LM,3
9,2.0034049498775937,0.0065170399544290936,LM,3
10,2.2725303306987636,0.00642035025502359,LM,3
11,2.2235902040731594,0.006757463294630929,LM,3
12,1.8951333152391332,0.00674690205584753,LM,3
13,1.3610994162985006,0.006506600104265169,LM,3
14,0.9457388242018531,0.006122804422972622,LM,3
15,0.5095876884656758,0.0058106863952512,LM,3
16,0.21827161968445266,0.005074422034124446,LM,3
17,0.007478172414902475,0.0013612421805022548,LM,3
18,8.305040117725041e-05,2.9198721423515057e-06,LM,3
19,1.3567268865247687e-06,4.435388698718419e-11,LM,3
0,3.0432608674253303,1.0,GNbc,3
1,3.720494775312111,0.14869418686452437,GNbc,3
2,1.147569858660605,0.28348817568585344,GNbc,3
3,8.569636819268364,0.19076822942018046,GNbc,3
4,2.1490782155878674,0.1455880394657312,GNbc,3
5,2.402340064473629,0.07144786785358044,GNbc,3
6,2.854259814788382,0.03715013069777826,GNbc,3
7,1.8397244600439366,0.008223008994965756,GNbc,3
8,2.0161937728440917,0.008490182004274113,GNbc,3
9,3.4310210591164907,0.008579045854374218,GNbc,3
10,2.8207659064676895,0.004429884891239255,GNbc,3
11,9.425107593300647,0.0037076139010795276,GNbc,3
12,28.377370025751745,0.0012354984065679224,GNbc,3
13,137.22653028790856,0.00015111477413680806,GNbc,3
14,1729.7600132162006,5.402532938148794e-06,GNbc,3
0,3.0452071351609113,1.0,GN,3
1,3.699998563644931,0.1489938220227388,GN,3
2,17.095541087255953,0.35520933039981273,GN,3
3,1.953810423163349,0.20974820799487784,GN,3
4,5.985046566647106,0.24600760810455924,GN,3
5,3.6100970646501134,0.14343577637387825,GN,3
6,3.6199716399961708,0.020228674815338254,GN,3
7,6.220059014311729,0.09374902315708025,GN,3
8,29.66247507033714,0.08184286638119485,GN,3
9,34.426162556841476,0.017826054990614945,GN,3
10,176.92147170178043,0.032477672704612374,GN,3
11,2677.2216540901727,0.02089481072266477,GN,3
