,dx,dz,method,caso
0,0.8445537346388187,1.0,LM,0
1,0.6165821572382516,0.2495956065121525,LM,0
2,0.8528110619099385,0.043911145646234766,LM,0
3,0.9822201353754823,0.029510263922320003,LM,0
4,1.6023910254288274,0.014671753333734189,LM,0
5,1.0830465571944725,0.012396510014417612,LM,0
6,0.7712625661180194,0.00487229314413703,LM,0
7,0.7833036124229745,0.00513002242490078,LM,0
8,0.6132439399330837,0.003951245853997771,LM,0
9,0.4393447767720171,0.003540024208164926,LM,0
10,0.18987035144885664,0.003293300168379047,LM,0
11,0.016301050282777497,0.0013811843884473597,LM,0
12,0.0003901959335447715,6.9920021257819665e-06,LM,0
13,2.918231715116062e-06,2.396080837630708e-09,LM,0
0,9.671306432018632,1.0,GNbc,0
1,3.004533065860724,0.2521859486001955,GNbc,0
2,3.0381539236900066,0.14536089660545876,GNbc,0
3,2.01626371222696,0.013127414304871207,GNbc,0
4,12.387677380459575,0.009554863322233013,GNbc,0
5,360.9037959134029,0.008575280711339487,GNbc,0
6,248614.1025622184,0.00446885190954509,GNbc,0
0,9.713554042460489,1.0,GN,0
1,2.280531795834451,0.25425754663620936,GN,0
2,1.4113072488604588,0.16785989718161257,GN,0
3,1.4932692931496996,0.06820760210663838,GN,0
4,1.507204341162133,0.06702277072667502,GN,0
5,1.019778738415906,0.08249547062955849,GN,0
6,2.943693598297541,0.06413772328361404,GN,0
7,0.8110076092205233,0.0912890883824814,GN,0
8,1.1958050815883432,0.06103521814209505,GN,0
9,1.305441377212723,0.04730524066188569,GN,0
10,0.908387917437785,0.05249125582308204,GN,0
11,0.3980812543263109,0.030806264372040607,GN,0
12,0.21541506629870705,0.01026839264919032,GN,0
13,0.0022794244721921603,0.0012769904649951433,GN,0
14,4.6966815832782594e-05,2.279446833123582e-06,GN,0
15,1.0676473752117779e-10,6.208062089661043e-11,GN,0
0,0.8436669093551727,1.0,LM,1
1,0.5823278216526214,0.25066963163422584,LM,1
2,0.9300669224010045,0.03616197601978478,LM,1
3,1.0714106004878188,0.023409334701917823,LM,1
4,1.8130094668445556,0.01099783098100527,LM,1
5,2.090599089993167,0.005646026992826,LM,1
6,1.97208732651902,0.004629350524779073,LM,1
7,1.7009216401968188,0.004325484518982403,LM,1
8,1.5409192299889278,0.005691484228379421,LM,1
9,1.2516366335338411,0.003326639019515161,LM,1
10,0.9358558704427906,0.002704512421228904,LM,1
11,0.6921098037729829,0.0023469739340916296,LM,1
12,0.3373832045793157,0.0020641047332073904,LM,1
13,0.01612317052962033,0.0009181112157008951,LM,1
14,0.00022010017202515317,5.065407427422884e-06,LM,1
15,5.427520705012874e-06,4.684923018800225e-10,LM,1
0,9.012919484156146,1.0,GNbc,1
1,3.6374503822770468,0.20481898678201751,GNbc,1
2,4.17666387943533,0.2748227124018562,GNbc,1
3,11.499700812049179,0.13212250798945344,GNbc,1
4,20.458588644070215,0.09166048388699287,GNbc,1
5,374.64590459048986,0.07891204756222013,GNbc,1
6,510537.85388792545,0.0862255788256333,GNbc,1
0,9.043378076493669,1.0,GN,1
1,3.1493636508884926,0.20578233730346443,GN,1
2,2.562216757283844,0.29396435419619454,GN,1
3,3.3947163665515188,0.1360267219494304,GN,1
4,0.7313792879046337,0.18681826458809594,GN,1
5,1.021708768049224,0.08115876476735319,GN,1
6,0.29189982136239806,0.047669093436886474,GN,1
7,0.15931895136279917,0.011922071036969992,GN,1
8,0.0010628964062789588,0.0010734432299893799,GN,1
9,8.981105606283805e-06,6.786013555760629e-07,GN,1
0,0.8395175278982907,1.0,LM,2
1,0.5559561854979232,0.24975425984435976,LM,2
2,1.0310702026745344,0.03096941322181224,LM,2
3,0.8694989499361248,0.03236504828575835,LM,2
4,2.1750214767844462,0.003796549683504528,LM,2
5,2.046912695905959,0.002004734488093901,LM,2
6,0.7411934067822488,0.0140658620705362,LM,2
7,0.9177794906280623,0.013340257111115935,LM,2
8,0.9686975761790607,0.013351380490273856,LM,2
9,0.9886961085847324,0.012981790050752829,LM,2
10,0.9491037623780795,0.01263574810874053,LM,2
11,0.8966588038735093,0.012263885428150306,LM,2
12,0.7929026383736028,0.012082407357024308,LM,2
13,0.8407942968554432,0.011430737342342893,LM,2
14,1.1167953139363074,0.010650027831861626,LM,2
15,2.3393404241154157,0.008467499344028604,LM,2
16,2.3438571350203663,0.0066740638434037965,LM,2
17,1.2536186958579763,0.006049291017656193,LM,2
18,0.4973082518845624,0.005245553665415305,LM,2
19,0.14595992634452434,0.003308739449869576,LM,2
20,0.013605107705898655,0.0004074887693385966,LM,2
21,8.549452240818686e-05,2.7765964973031003e-06,LM,2
22,2.048131260627392e-06,3.545265251492078e-11,LM,2
0,8.615354693144985,1.0,GNbc,2
1,6.739839440256161,0.18028540603274454,GNbc,2
2,5.769151084801372,0.3415568398786997,GNbc,2
3,9.314189201528118,0.24489346920112234,GNbc,2
4,1.4061806120146731,0.19175115071577986,GNbc,2
5,810.0406642524517,0.1885281693965479,GNbc,2
6,4.204439015064382,0.11860663074759913,GNbc,2
7,1.6030009156979153,0.04238308879112141,GNbc,2
8,1.4668873590007778,0.024899223353482918,GNbc,2
9,0.8974073558767102,0.015432886464971506,GNbc,2
10,0.16715123402296622,0.007662155724149923,GNbc,2
11,0.048105923662232174,0.000998808265696153,GNbc,2
12,0.00032470849688609493,3.0164780327161836e-05,GNbc,2
13,3.699160181794036e-07,7.737996738450551e-09,GNbc,2
0,8.65113275776576,1.0,GN,2
1,7.148698005127113,0.17902431656593631,GN,2
2,4.331484194887934,0.30267836172030504,GN,2
3,38.92705110548063,0.24782526500791416,GN,2
4,11.599233040671663,0.22090109273307718,GN,2
5,111.60953794072505,0.2250844693448463,GN,2
6,76937.63757173285,0.09270096608100813,GN,2
0,0.8402165622943921,1.0,LM,3
1,0.5543254488338906,0.2498949412462339,LM,3
2,1.0349910647435754,0.03133067102204085,LM,3
3,0.7766162171881161,0.03993574353937231,LM,3
4,2.535081129540141,0.003078111057251994,LM,3
5,1.2062785031364534,0.013226178733235028,LM,3
6,1.2030450727063688,0.015071885753241629,LM,3
7,1.2635306369023307,0.014873662986448514,LM,3
8,1.2625252823005366,0.014757874185098526,LM,3
9,1.295343180298962,0.014353089822150297,LM,3
10,1.383703052248819,0.0136129382683473,LM,3
11,1.2956572809366995,0.013097620491288521,LM,3
12,0.7147570874493857,0.011813886706083883,LM,3
13,0.14137125005318665,0.006259568355636292,LM,3
14,0.003848151977931969,0.00045325039903893887,LM,3
15,2.0347355189689015e-05,7.275144557008172e-07,LM,3
16,4.3719261943673356e-07,8.24302836387371e-12,LM,3
0,9.127210603984285,1.0,GNbc,3
1,1.4396466171461846,0.18033710046809023,GNbc,3
2,19.23850900466346,0.14172040525174526,GNbc,3
3,35.68739492620053,0.16650272606778618,GNbc,3
4,1.73011851685118,0.11388341631979108,GNbc,3
5,1.9685743751073508,0.1622950959590062,GNbc,3
6,0.4950671167363423,0.0543711027531628,GNbc,3
7,0.6237080306696918,0.02019174718651731,GNbc,3
8,0.039018011115705305,0.007239225312544743,GNbc,3
9,0.007974494159783282,0.00025146290149915217,GNbc,3
10,3.7599167561277584e-06,1.1143904397817742e-06,GNbc,3
0,9.167259209777328,1.0,GN,3
1,3.2054408466716398,0.17670713988440356,GN,3
2,2.540339702547743,0.34459597316940366,GN,3
3,2.0510958755371655,0.3350361447295342,GN,3
4,3.0807067946648234,0.12358002205447144,GN,3
5,17.32437760904868,0.0617657303181739,GN,3
6,9.522990094000614,0.08720543637819274,GN,3
7,1755.2098513715555,0.07025444081251321,GN,3
