,dx,dz,method,caso,n
0,0.23386035738497685,1.0,LM,0,0
1,0.4885386037193992,0.5887033095608165,LM,0,0
2,0.5968201609997346,0.4241078936696077,LM,0,0
3,0.4506563287356322,0.11253132483223051,LM,0,0
4,0.23202068146653815,0.04852158006005895,LM,0,0
5,0.17375445492384906,0.02968099913239278,LM,0,0
6,0.13012711406788297,0.025078573514619527,LM,0,0
7,0.09750526596667745,0.03536370300823463,LM,0,0
8,0.07308877680052185,0.047643298544058604,LM,0,0
9,0.05479428186289486,0.05681866606927843,LM,0,0
10,0.04108053631464935,0.06172783430172468,LM,0,0
11,0.02053213426407496,0.09168279683497724,LM,0,0
12,0.0001753973865908911,0.09426352784758066,LM,0,0
13,5.23238426533022e-06,0.00044151584195328575,LM,0,0
14,1.9798679094172032e-08,8.261344165733518e-08,LM,0,0
0,0.2943029918102508,1.0,GNbc,0,0
1,1.097656174816465,264.5233526936598,GNbc,0,0
2,0.7670994413742768,32.437873810582715,GNbc,0,0
3,0.08671284427495647,4.624465435124224,GNbc,0,0
4,0.006998376921125368,0.6191451697540625,GNbc,0,0
5,0.0007737555309742863,0.4400073997253414,GNbc,0,0
6,0.00011050637341752545,0.022920083729567158,GNbc,0,0
7,5.828003086720745e-06,1.9831567564015395e-05,GNbc,0,0
0,1.2043494180480243,1.0,GN,0,0
1,0.7881359227780127,0.7072216413571133,GN,0,0
2,0.12521022200949322,4.33646148951549,GN,0,0
3,0.23127799539211233,0.290150995169671,GN,0,0
4,0.0887204156876649,1.9363233113840266,GN,0,0
5,0.020270654062933015,127.50324969059879,GN,0,0
6,0.054607299018877155,24.982286062312085,GN,0,0
7,0.09205297196906978,6.252498553862404,GN,0,0
8,0.028628050630473127,188.1080024799037,GN,0,0
9,0.06829514532551138,29.387911041454476,GN,0,0
10,0.17067138464223783,5.5846865427156125,GN,0,0
11,0.24182442741975443,1.4064549741171501,GN,0,0
12,0.09975075372911071,298.2473371117936,GN,0,0
13,0.13841227336247675,41.88998190432004,GN,0,0
14,0.4548813885541802,8.439055974345836,GN,0,0
15,1.1034140462523385,2.751660117391387,GN,0,0
16,2.924620082294514,0.9557934839663594,GN,0,0
17,4.0704907646122095,0.4918401190292802,GN,0,0
18,15.53134626114804,0.5432831178959429,GN,0,0
19,588.7801834465516,0.09871719391833302,GN,0,0
20,1061227.0692618636,0.3343708325480106,GN,0,0
0,0.23369467457730828,1.0,LM,0,1
1,0.49000281100696863,0.5881151589341369,LM,0,1
2,0.5955987312045979,0.4231559912823547,LM,0,1
3,0.447379385100699,0.11144510781353596,LM,0,1
4,0.23176227821610149,0.049529661284659625,LM,0,1
5,0.17380015331517235,0.030344502529774754,LM,0,1
6,0.13029986648214364,0.02431648190238074,LM,0,1
7,0.09771632586909422,0.03368289385262824,LM,0,1
8,0.07329774984638204,0.04572388541313117,LM,0,1
9,0.05498402013139929,0.054880101245196815,LM,0,1
10,0.04124505058321625,0.05987645271400495,LM,0,1
11,0.020643561482705425,0.09002860264490098,LM,0,1
12,0.00014182965449068772,0.09432279166039866,LM,0,1
13,3.6654954025593657e-06,0.0005107357138773496,LM,0,1
14,9.410666041873502e-09,7.646122101592899e-08,LM,0,1
0,0.2955408263109154,1.0,GNbc,0,1
1,1.0975849209357502,282.01175690588224,GNbc,0,1
2,0.7696042876292456,34.654842492917304,GNbc,0,1
3,0.08704828405137661,4.947402841720342,GNbc,0,1
4,0.0066546852995396965,0.552410686660317,GNbc,0,1
5,0.0006470065685613927,0.3461942692033158,GNbc,0,1
6,5.997853377316125e-05,0.014158948201473204,GNbc,0,1
7,2.282991333883851e-06,5.332327049873397e-07,GNbc,0,1
0,1.209697577917338,1.0,GN,0,1
1,0.7956884638169632,0.6999166339360846,GN,0,1
2,0.1288668867178826,4.376248141338783,GN,0,1
3,0.23070403660825448,0.3000610115638928,GN,0,1
4,0.09152234531096733,1.8979989508173165,GN,0,1
5,0.021489269429403813,114.956040013613,GN,0,1
6,0.058256289693255366,22.828423646172304,GN,0,1
7,0.10181342953134981,5.759259540792549,GN,0,1
8,0.037088728610688196,103.59468220193935,GN,0,1
9,0.09263036850829257,17.157814398311782,GN,0,1
10,0.19303653482387342,3.4589540745636693,GN,0,1
11,0.40733822133323333,0.9801752755288935,GN,0,1
12,0.31634375537863174,8.962630803517472,GN,0,1
13,0.7174834728732538,2.799682004771161,GN,0,1
14,2.1670781562229626,0.9564102536586936,GN,0,1
15,0.9539218644860092,0.7597613477759619,GN,0,1
16,3.9699513742314347,0.13259512778847388,GN,0,1
17,24.153491689274034,0.05737986699533938,GN,0,1
18,1441.4786312040449,0.18085211976869148,GN,0,1
0,0.23308203107710015,1.0,LM,0,2
1,0.49128639639377425,0.5877895100881954,LM,0,2
2,0.6026044645824923,0.4242768751998738,LM,0,2
3,0.4598137089749875,0.11428594411551676,LM,0,2
4,0.23657480759454724,0.051017181358813536,LM,0,2
5,0.17710006257623545,0.030753530655032075,LM,0,2
6,0.13254554345768457,0.026034571091423153,LM,0,2
7,0.09923763866256854,0.038395972105076774,LM,0,2
8,0.07432320436082515,0.053178619819237785,LM,0,2
9,0.05567065543932978,0.06477053322327099,LM,0,2
10,0.0417012932607606,0.07174352055331962,LM,0,2
11,0.031238553291693675,0.07396588560203562,LM,0,2
12,0.015570698247143444,0.09370161979613909,LM,0,2
13,0.00019942429883174463,0.07440521572045734,LM,0,2
14,8.658897361301622e-06,0.00017191586902467408,LM,0,2
15,7.173772914579891e-08,1.6435477308008762e-08,LM,0,2
0,0.29661776773548276,1.0,GNbc,0,2
1,1.1031379191737718,210.92561762465127,GNbc,0,2
2,0.7619266772801869,24.86988444537941,GNbc,0,2
3,0.08857506526036636,2.5709800646565775,GNbc,0,2
4,0.010069097684648394,1.2615831900625898,GNbc,0,2
5,0.0026382919038917593,0.8165542413479182,GNbc,0,2
6,0.0004697979161776439,0.01232590297008891,GNbc,0,2
7,1.1802036146831864e-05,0.0004330437029801517,GNbc,0,2
8,8.908000691652652e-08,1.722083426096207e-07,GNbc,0,2
0,1.2142279096414519,1.0,GN,0,2
1,0.7916211898071546,0.6911943152205574,GN,0,2
2,0.12456692351541758,4.678524895376182,GN,0,2
3,0.23365466392783438,0.3509981745018631,GN,0,2
4,0.1008736215179196,1.901029175028335,GN,0,2
5,0.03682359121510219,49.639198753587685,GN,0,2
6,0.07292100583700427,11.163238609610953,GN,0,2
7,0.2007987849076668,2.9053061059892906,GN,0,2
8,0.09607689486341106,5.602009180802215,GN,0,2
9,0.19803772019441046,1.313483374940899,GN,0,2
10,0.04934642737794601,32.17272053684227,GN,0,2
11,0.12428163322728403,7.503844181650209,GN,0,2
12,0.31914557921854886,2.0549984469518123,GN,0,2
13,0.19211978692380746,3.159225614110271,GN,0,2
14,0.395752518536512,0.8603425796812385,GN,0,2
15,0.21756092221813825,8.979433531551337,GN,0,2
16,0.4351661274978078,2.727899159937902,GN,0,2
17,1.2323829777590034,0.8135039942015379,GN,0,2
18,0.758458401417484,0.9067643895796796,GN,0,2
19,0.6367523488092622,14.131024369422807,GN,0,2
