caso,Med,ini,sys,convLM,convGNbc,convGN
0,1,1,IEEE14_rakp2009,100,100,100
0,0,1,IEEE14_rakp2009,100,100,42
0,1,2,IEEE14_rakp2009,100,100,100
0,0,2,IEEE14_rakp2009,100,100,68
1,1,1,IEEE14_rakp2009,100,100,100
1,0,1,IEEE14_rakp2009,100,100,0
1,1,2,IEEE14_rakp2009,100,100,100
1,0,2,IEEE14_rakp2009,100,100,100
2,1,1,IEEE14_rakp2009,100,100,100
2,0,1,IEEE14_rakp2009,94,100,0
2,1,2,IEEE14_rakp2009,100,100,100
2,0,2,IEEE14_rakp2009,100,0,0
3,1,1,IEEE14_rakp2009,100,100,100
3,0,1,IEEE14_rakp2009,100,100,0
3,1,2,IEEE14_rakp2009,100,100,100
3,0,2,IEEE14_rakp2009,100,0,0
0,1,1,IEEE118_rakp2009,100,100,100
0,0,1,IEEE118_rakp2009,100,0,100
0,1,2,IEEE118_rakp2009,100,100,100
0,0,2,IEEE118_rakp2009,100,82,97
1,1,1,IEEE118_rakp2009,100,100,100
1,0,1,IEEE118_rakp2009,100,0,100
1,1,2,IEEE118_rakp2009,100,100,100
1,0,2,IEEE118_rakp2009,100,53,31
2,1,1,IEEE118_rakp2009,100,100,100
2,0,1,IEEE118_rakp2009,100,100,0
2,1,2,IEEE118_rakp2009,100,100,100
2,0,2,IEEE118_rakp2009,100,80,86
3,1,1,IEEE118_rakp2009,100,100,100
3,0,1,IEEE118_rakp2009,95,99,8
3,1,2,IEEE118_rakp2009,100,100,100
3,0,2,IEEE118_rakp2009,100,75,19
