,n,convLM,convGN,convGNbc,nitsLM,nitsGN,nitsGNbc,caso
0,0,1,1,1,7,5,5,0
1,1,1,1,1,7,5,5,0
2,2,1,1,1,7,5,5,0
3,3,1,1,1,7,5,5,0
4,4,1,1,1,7,5,5,0
5,5,1,1,1,7,5,5,0
6,6,1,1,1,7,5,5,0
7,7,1,1,1,7,5,5,0
8,8,1,1,1,7,5,5,0
9,9,1,1,1,7,5,5,0
10,0,1,1,1,6,5,5,1
11,1,1,1,1,6,5,5,1
12,2,1,1,1,6,5,5,1
13,3,1,1,1,6,5,5,1
14,4,1,1,1,6,5,5,1
15,5,1,1,1,6,5,5,1
16,6,1,1,1,6,5,5,1
17,7,1,1,1,6,5,5,1
18,8,1,1,1,6,5,5,1
19,9,1,1,1,6,5,5,1
20,0,1,1,1,6,7,6,2
21,1,1,1,1,6,6,6,2
22,2,1,1,1,6,6,6,2
23,3,1,1,1,6,6,6,2
24,4,1,1,1,6,6,6,2
25,5,1,1,1,6,6,6,2
26,6,1,1,1,6,6,6,2
27,7,1,1,1,6,6,6,2
28,8,1,1,1,6,6,6,2
29,9,1,1,1,6,6,6,2
30,0,1,1,1,7,8,7,3
31,1,1,1,1,7,8,7,3
32,2,1,1,1,6,8,7,3
33,3,1,1,1,6,8,7,3
34,4,1,1,1,6,8,7,3
35,5,1,1,1,7,8,7,3
36,6,1,1,1,7,8,7,3
37,7,1,1,1,7,8,7,3
38,8,1,1,1,6,8,7,3
39,9,1,1,1,7,8,7,3
