,dx,dz,method,caso
0,0.7190433134632458,1.0,LM,0
1,0.7505101928930453,0.6647274599048901,LM,0
2,1.3982864255196976,0.08836503842517449,LM,0
3,0.8968846535456948,0.07472360889791847,LM,0
4,0.36556085939787536,0.08654672524421296,LM,0
5,0.046400015886563735,0.1530054720624851,LM,0
6,0.0004884515122904776,0.009570358852924007,LM,0
7,6.13173810256229e-07,2.543127325234029e-05,LM,0
0,0.17231598715710555,1.0,GNbc,0
1,1.973445690227337,0.9435373279550155,GNbc,0
2,1.794361562098132,0.2904242202520727,GNbc,0
3,0.6694280332832441,0.09933985793431632,GNbc,0
4,0.31524136957315296,0.059046032230618696,GNbc,0
5,0.09078658420302609,0.04472641681743257,GNbc,0
6,0.0997816857112017,0.04336549869456271,GNbc,0
7,0.05549800428054091,0.0454968774279545,GNbc,0
8,0.05818062553064542,0.04681036955671164,GNbc,0
9,0.06007537001138933,0.04976204164848669,GNbc,0
10,0.06054964882161382,0.05506595234244294,GNbc,0
11,0.059261554111392174,0.06358680572462738,GNbc,0
12,0.05644524459234164,0.07623727025688098,GNbc,0
13,0.05274626327989477,0.0940070759509774,GNbc,0
14,0.048793511263148175,0.11830144418631883,GNbc,0
15,0.04496880790887883,0.15159519361689763,GNbc,0
16,0.041431931930061734,0.1985674124765555,GNbc,0
17,0.038218486129627145,0.2686205009740952,GNbc,0
18,0.03531039708315025,0.3829191115138363,GNbc,0
19,0.13067847263474558,0.5994952686872156,GNbc,0
20,0.024979966392426466,0.6560637654335427,GNbc,0
21,0.023178530012783465,0.47814742194512533,GNbc,0
22,0.04303079928862162,0.378713436525947,GNbc,0
23,0.07395699428247358,0.27850734416556217,GNbc,0
24,0.21482361575402645,0.19458632200743461,GNbc,0
25,0.015553044122816734,0.11937540431632315,GNbc,0
26,0.0007943583587116324,0.01342056515190786,GNbc,0
27,2.4153831308806574e-06,7.658314172816498e-05,GNbc,0
0,0.6875470439047271,1.0,LM,1
1,0.7516922636276072,0.6294596110143995,LM,1
2,1.3987599846727576,0.06621060399757572,LM,1
3,0.9125847485909858,0.06619756681731531,LM,1
4,0.6406874540551855,0.06407453976264012,LM,1
5,0.44449988621351366,0.06387154203765853,LM,1
6,0.18847387316745925,0.09822215579630482,LM,1
7,0.013141949315466708,0.17372159984523228,LM,1
8,6.436128570426429e-05,0.006799747852542226,LM,1
9,6.808992804237801e-08,8.43555386424164e-06,LM,1
0,0.32258377049738896,1.0,GNbc,1
1,1.2777371735773098,2.3349544641486455,GNbc,1
2,0.7496429193941917,0.45132840915054495,GNbc,1
3,0.4620690559356952,0.22480821626143402,GNbc,1
4,0.13002396989111722,0.2803577664151854,GNbc,1
5,0.0015454483110065385,0.015659373196074647,GNbc,1
6,1.0777022161591728e-05,0.00010780369577933458,GNbc,1
7,3.02880219458155e-11,2.707956120740068e-09,GNbc,1
0,0.6899090855923365,1.0,LM,2
1,0.9144048233715548,0.49790894093959526,LM,2
2,1.281759134166429,0.339449312510896,LM,2
3,1.1069323075494293,0.3176036137625818,LM,2
4,0.9166040379405249,0.1781512579352604,LM,2
5,0.6911123050113924,0.031767506201913646,LM,2
6,0.5930741727096932,0.0710652210928839,LM,2
7,0.550644823664646,0.09000765884595181,LM,2
8,0.5111056818751181,0.11690739372852979,LM,2
9,0.47438026737912475,0.15677741355097086,LM,2
10,0.44033598061241924,0.22017695088948105,LM,2
11,0.4088138355456878,0.3330333543139614,LM,2
12,0.3796370123177056,0.5776691269202533,LM,2
13,0.3525616171796198,1.3946382204677643,LM,2
14,0.2532148740513575,0.29101130942673015,LM,2
15,0.23573493403917772,0.2413394703741956,LM,2
16,0.21954826690033713,0.205280411333631,LM,2
17,0.20455180594742028,0.17767958789162577,LM,2
18,0.1768043354630977,0.14843281023457006,LM,2
19,0.15305811740816022,0.12450252983707857,LM,2
20,0.1124633309076425,0.10132206583286604,LM,2
21,0.054076819375691976,0.07711139414623733,LM,2
22,0.000983312327091195,0.03151558170712017,LM,2
23,2.1572061506599153e-06,0.00020133635266831527,LM,2
24,5.453082122267659e-11,6.449483715883192e-09,LM,2
0,0.7059611275638327,1.0,GNbc,2
1,1.5290982790424354,1.1653880509677226,GNbc,2
2,9.168145272052685,1.1739390915980954,GNbc,2
3,0.8033485285808487,0.2686190016758197,GNbc,2
4,1.111854898014545,0.1706967955735675,GNbc,2
5,0.9118421911531575,0.10964027351627699,GNbc,2
6,0.6534749273784515,0.09975949174416635,GNbc,2
7,0.05201454466485009,0.03298862974970452,GNbc,2
8,0.011398225893660567,0.001708755727835864,GNbc,2
9,9.211655182047035e-06,9.266967721745857e-06,GNbc,2
0,1.4697190542622944,1.0,GN,2
1,2.027291912198703,0.20750081819985625,GN,2
2,8.12381930593591,1.2725688801999957,GN,2
3,1.093066762982213,2.210716972534174,GN,2
4,2.94010018850908,0.1491395800775649,GN,2
5,0.5872368426828565,0.2816338242379928,GN,2
6,1.08254162194358,0.1537502903304916,GN,2
7,0.15801261881154166,0.08747978710972923,GN,2
8,0.08980179524717594,0.014000279102196925,GN,2
