,dx,dz,method,caso
0,0.8963332485264367,1.0,LM,0
1,0.773142650826389,0.18195135124657968,LM,0
2,1.5297396240016778,0.008393771080988443,LM,0
3,1.4890660851182655,0.01060873579058453,LM,0
4,1.5146006074196419,0.006752114104687326,LM,0
5,1.2895826593941595,0.00842297019926442,LM,0
6,1.0536464380850077,0.008964219220571635,LM,0
7,0.832274986228057,0.008423638266573953,LM,0
8,0.43541078560303637,0.008159719470283253,LM,0
9,0.010296599675505815,0.003961264394425743,LM,0
10,9.288537694529837e-05,3.013676762891322e-06,LM,0
11,1.869992122368431e-06,9.971968628295998e-11,LM,0
0,3.9879372631534866,1.0,GNbc,0
1,2.6968381854401273,0.20579136802294462,GNbc,0
2,0.47167810007186023,0.09571361252803619,GNbc,0
3,0.023744359454316813,0.008485627930203627,GNbc,0
4,0.0008593345717272385,5.7504134959657054e-05,GNbc,0
5,2.7149307442171057e-06,8.477316029265334e-08,GNbc,0
0,3.941795510512579,1.0,GN,0
1,2.724070639172749,0.20684043511290912,GN,0
2,0.4906275056588429,0.09305415967113385,GN,0
3,0.020260252191307414,0.007644513708422019,GN,0
4,0.0005950100084749095,3.5057192502250665e-05,GN,0
5,1.9740732522211207e-06,3.7855418809618766e-08,GN,0
0,0.8914927609463947,1.0,LM,1
1,0.6702067813908871,0.18736084106791803,LM,1
2,1.3341243764203141,0.015737618784246662,LM,1
3,1.6432945897448696,0.009519644897107542,LM,1
4,1.8677137654606382,0.005543708168291566,LM,1
5,1.601878854232123,0.005158547365101664,LM,1
6,1.266920939462369,0.0062137796983819105,LM,1
7,0.9859443791244522,0.006304100852857243,LM,1
8,0.5101286761880242,0.0071358217327821185,LM,1
9,0.014825160269705224,0.004155427324729919,LM,1
10,0.00012295543957064389,5.381125719130413e-06,LM,1
11,7.511564968469725e-07,1.5740185269045311e-10,LM,1
0,4.016043794273574,1.0,GNbc,1
1,2.784366722276435,0.1993234639782754,GNbc,1
2,0.4986871338746498,0.11402140899070258,GNbc,1
3,0.03426143142277739,0.01629397097483426,GNbc,1
4,0.0021021752296965786,0.00013945473566650155,GNbc,1
5,5.326134315765895e-06,5.325484343410636e-07,GNbc,1
0,3.9740083061499107,1.0,GN,1
1,2.809494573741203,0.20144331986963107,GN,1
2,0.5065409374768444,0.10852243618549466,GN,1
3,0.02479332781708201,0.013479684373277765,GN,1
4,0.001044160298853649,6.00573111400907e-05,GN,1
5,1.6054402508554705e-06,1.2858685234182166e-07,GN,1
0,0.8897098973324531,1.0,LM,2
1,0.7321742357357615,0.1930093103007866,LM,2
2,2.083252288328185,0.018227239323238695,LM,2
3,2.830899019996672,0.0163723079827586,LM,2
4,3.5016211102391357,0.0138172056593422,LM,2
5,3.577336315792571,0.01204693198220253,LM,2
6,3.5832534774564366,0.011097863249806605,LM,2
7,3.3828658707072163,0.010243439055892149,LM,2
8,3.095494748321538,0.009396397863029175,LM,2
9,2.7845667644043783,0.008533561689067742,LM,2
10,2.1391558776860293,0.007738793431943936,LM,2
11,1.6444758587041444,0.0066363173102643325,LM,2
12,1.2638194035494505,0.0054417182795566885,LM,2
13,0.6629900895435196,0.004694057323138457,LM,2
14,0.06070468492013771,0.003759247795069318,LM,2
15,0.010863889575806668,2.3579019454962166e-05,LM,2
16,0.010381346219272747,3.6795247002671045e-06,LM,2
17,0.006620358751313136,2.113560609273162e-06,LM,2
18,0.006147340405466702,1.8787143236540154e-06,LM,2
19,0.005369835854091121,1.9836663896273047e-06,LM,2
20,0.004756485479634933,1.8034647358987825e-06,LM,2
21,0.004211414850919043,1.525609976578092e-06,LM,2
22,0.0037235167966603554,1.2426337549331326e-06,LM,2
23,0.003288914892062856,9.912425696894036e-07,LM,2
24,0.0029036326393023695,7.815661698555682e-07,LM,2
25,0.0025632120913614705,6.12359097370776e-07,LM,2
26,0.001966452497601896,6.886836935633476e-07,LM,2
27,0.0015078040279943197,4.0387814507201356e-07,LM,2
28,0.0011593908313994234,2.3767958679038868e-07,LM,2
29,0.0008932648598221423,1.4082975568639557e-07,LM,2
30,0.0006896322278320513,8.37980633235616e-08,LM,2
31,0.0005331104362527513,5.002017104230073e-08,LM,2
32,0.00041266438469171043,2.993737887937215e-08,LM,2
33,0.00038937620440837725,2.3570472501267918e-08,LM,2
34,0.00038388626299111755,2.2158486925509522e-08,LM,2
0,7.907455961626536,1.0,GNbc,2
