,dx,dz,method,caso
0,0.8276212549803538,1.0,LM,0
1,1.2771506776818824,0.16065755902516754,LM,0
2,1.17440539044333,0.07764063528231264,LM,0
3,1.5968796906527691,0.014651277233144688,LM,0
4,1.5382171529244757,0.009532511908026361,LM,0
5,1.2125561679103996,0.009251883915073165,LM,0
6,1.4151164403154233,0.0065608419594402455,LM,0
7,0.5846448819876221,0.02132813434019291,LM,0
8,0.22837347028664987,0.0035834742852807414,LM,0
9,0.049181888298430676,0.0012104421004603255,LM,0
10,0.007169400046121506,2.610363844185559e-05,LM,0
11,0.00011829262371329946,3.6000243678659396e-07,LM,0
12,1.8434245406214675e-06,1.2005464640194967e-10,LM,0
0,3.824182744826627,1.0,GNbc,0
1,1.577640578360261,0.5502026316287225,GNbc,0
2,0.35290435360248984,0.15830655660793147,GNbc,0
3,0.13108498425772117,0.015295259126399084,GNbc,0
4,0.007642767028743482,0.00043919013131683485,GNbc,0
5,0.00020383589895716492,1.901996317582659e-06,GNbc,0
6,6.49164919864866e-06,2.5186638577779313e-10,GNbc,0
0,3.8236516318019618,1.0,GN,0
1,1.5320634328003162,0.8408928954541215,GN,0
2,0.346132654031633,4009.3042395426123,GN,0
3,0.12977905576920098,477.8420445941542,GN,0
4,0.048932671827900724,52.873039153889756,GN,0
5,0.036358557800954754,4.505143843899526,GN,0
6,0.018636836339263274,0.5352656333171446,GN,0
7,0.015204496693878437,0.0383165887138455,GN,0
8,0.04025954631513603,0.007546250395630277,GN,0
9,0.09910793984681501,0.0016876428873605167,GN,0
10,0.17938400996379178,0.00031611687501127754,GN,0
11,0.05036287312130623,0.001209905156718261,GN,0
12,0.01258786299924992,0.0009187635201249023,GN,0
13,0.0015101304157696767,8.398014444450741e-05,GN,0
14,4.228146210099079e-05,2.0539766096905672e-06,GN,0
15,2.569404414054309e-07,1.4007225866632552e-09,GN,0
0,0.8148657226378315,1.0,LM,1
1,1.1513035292376563,0.16256408378648693,LM,1
2,1.2573835281497288,0.08748290936224615,LM,1
3,1.01971468292527,0.029375519295585028,LM,1
4,1.0752318939567183,0.012618090726383044,LM,1
5,1.0911771994629451,0.008236960082369632,LM,1
6,1.036757333015793,0.00516077183466535,LM,1
7,0.7508638504992315,0.005424721772541948,LM,1
8,0.45564086068168963,0.00329133791545965,LM,1
9,0.20302338595547054,0.0024790137386766285,LM,1
10,0.015295746847202535,0.0010491096814178806,LM,1
11,9.670177201852911e-05,5.994477502004179e-06,LM,1
12,4.054586807733921e-07,1.1053303780105054e-10,LM,1
0,1.9943083983365006,1.0,GNbc,1
1,2.1357037766142186,0.5113965291803587,GNbc,1
2,1.1887622794013937,0.047905220481001716,GNbc,1
3,0.4111557980559348,0.016106597240758025,GNbc,1
4,0.11788570853651063,0.0049440427121062395,GNbc,1
5,0.00479531117148227,0.0003453838716509974,GNbc,1
6,3.057254795057172e-05,1.3701171232785629e-06,GNbc,1
7,2.0997091576830144e-08,2.522632968946815e-11,GNbc,1
0,3.9822165662615023,1.0,GN,1
1,1.5259654431582912,3.9987845493148355,GN,1
2,0.5172720106976013,0.6400910154435531,GN,1
3,0.3653984386928785,0.1028796303640354,GN,1
4,0.39374763998187656,0.0077485886552480605,GN,1
5,0.46434429237911284,0.001152560151324488,GN,1
6,0.9175230749119879,0.00039371663271299393,GN,1
7,2.1447591277094245,8.656279731708905e-05,GN,1
8,6.008497858726244,5.807115476276994e-06,GN,1
9,23.94212959766755,3.3602383567204124e-07,GN,1
10,199.1901442339032,1.5080352468098756e-08,GN,1
11,8089.459064757939,4.346066221147881e-09,GN,1
0,0.8129440049306268,1.0,LM,2
1,1.0005674631075139,0.16477209671839715,LM,2
2,1.0995380645588775,0.06831298556145071,LM,2
3,0.5534859298560624,0.098808527808484,LM,2
4,1.5063264647340575,0.013725886527124224,LM,2
5,1.6877200558771084,0.006648461849842791,LM,2
6,1.1471390281512748,0.007946299585494159,LM,2
7,1.3287737787425549,0.0060171470297157945,LM,2
8,1.5131056876523319,0.0067225079683713145,LM,2
9,1.6383830712385195,0.006847622901611577,LM,2
10,1.5790242095780422,0.007068860327125366,LM,2
11,1.448043978398517,0.007273195046961018,LM,2
12,1.3669074894188342,0.007384677208318684,LM,2
13,1.4196035833948721,0.007383014051553907,LM,2
14,1.5353785445380868,0.0078561718161956,LM,2
15,2.0824295045483368,0.007668902744311849,LM,2
16,2.7149643454576613,0.007589015397578589,LM,2
17,1.1044222424108023,0.006687613338707202,LM,2
18,0.6726784574477563,0.005440461411882525,LM,2
19,0.18420005798443367,0.003664280401312908,LM,2
20,0.018498261912552987,0.0005804777784349668,LM,2
21,0.00014920440895991723,3.29429823547537e-05,LM,2
22,1.4554492953048921e-06,2.716261709836791e-07,LM,2
0,2.361768779572917,1.0,GNbc,2
1,13.96113482217958,0.4543937323252175,GNbc,2
2,3.923698916308371,0.4329684542582396,GNbc,2
3,1.9052088272235332,0.1144025089741488,GNbc,2
4,1.6666033565170668,0.04486375569663455,GNbc,2
5,0.9150839835206006,0.03808187304103448,GNbc,2
6,5.353086214087058,0.023403997716707925,GNbc,2
7,0.9257849374629052,0.026573704010848905,GNbc,2
8,34.28681236865958,0.019975391190316494,GNbc,2
9,9.30088890341468,0.019892673450920433,GNbc,2
10,2.87350889181891,0.019031452888769704,GNbc,2
11,14.666404114984731,0.01887186313726484,GNbc,2
12,51.95507418822319,0.003772987660681494,GNbc,2
13,337.06138049885783,0.000437712034185085,GNbc,2
14,7981.931949543481,3.660442160143376e-07,GNbc,2
0,4.706644635738477,1.0,GN,2
1,32.40449111053624,5280.518714837222,GN,2
2,2.9835170400998896,755.4256379860963,GN,2
3,2.4714821408072503,91.51188083226401,GN,2
4,2.2250290354800333,11.055483272166338,GN,2
5,1.0638013497092569,1.6420716506423692,GN,2
6,1.2504826899108124,0.2569007685565844,GN,2
7,1.229005991353602,0.23706710622188093,GN,2
8,1.0416816489942313,0.3588740439294041,GN,2
9,1.0001124121829572,0.03703294101555546,GN,2
10,1.9980082604047575,0.006312780824784427,GN,2
11,1.4456834476698806,0.0023743450367985,GN,2
12,2.790883015988224,0.007450993643224118,GN,2
13,6.47034501608679,0.0007504626825139928,GN,2
