,dx,dz,method,caso
0,1.0139187892228612,1.0,LM,0
1,0.4729288697981718,0.2820865681549585,LM,0
2,0.9790059641004166,0.023952284489855494,LM,0
3,0.9251902677316437,0.01526849445689945,LM,0
4,0.914059415998007,0.005036740816081409,LM,0
5,0.9193163627787528,0.004560894764685111,LM,0
6,0.8159017786547752,0.006712493034698793,LM,0
7,0.8395453198098413,0.0030468034827019694,LM,0
8,0.6249006473034061,0.0022588430793416664,LM,0
9,0.4401564791671782,0.001954421787618488,LM,0
10,0.18887813102901152,0.0018385154738857345,LM,0
11,0.0194470411967004,0.0008305848862117088,LM,0
12,0.0012814085818494195,5.211296697591859e-06,LM,0
13,1.0741005460781922e-05,1.8843138660322063e-08,LM,0
14,1.6936681773687749e-07,9.610124939394233e-13,LM,0
0,2.9708851765831805,1.0,GNbc,0
1,1.646745883999942,0.18278893581381211,GNbc,0
2,0.7106144892014176,0.06248870440898556,GNbc,0
3,0.08689918926759585,0.010324657211341919,GNbc,0
4,0.005978817654453439,0.0003797182056220055,GNbc,0
5,2.1743128688996506e-05,1.0086549305552216e-06,GNbc,0
6,6.088765961786559e-07,4.730551492572346e-12,GNbc,0
0,2.9731349807846748,1.0,GN,0
1,1.6431063746034014,0.18308235869084358,GN,0
2,0.7114322868364573,0.06226478661993741,GN,0
3,0.08928090716935859,0.010368744135442459,GN,0
4,0.0066489046172274035,0.0003782761578163321,GN,0
5,5.125853323785792e-05,1.0099195997316147e-06,GN,0
6,5.16357982296775e-07,1.6957494573043793e-11,GN,0
0,1.0328961829948327,1.0,LM,1
1,0.45912654379181617,0.3015511319121277,LM,1
2,0.9583599488621235,0.025599978971553156,LM,1
3,0.6840552896178541,0.028959496075980105,LM,1
4,1.2857333069086845,0.0027740651208346787,LM,1
5,1.3074650617872599,0.002688428037850745,LM,1
6,0.8463025431376737,0.0039761973314737355,LM,1
7,0.8679681294924358,0.0037863232986467916,LM,1
8,0.6336692960956478,0.006630527310035158,LM,1
9,0.3414163635247837,0.002713208001323959,LM,1
10,0.03815056834342171,0.002168078363203211,LM,1
11,0.00039446958272111756,3.338395623385356e-05,LM,1
12,4.348475080674628e-06,1.0346109424664902e-08,LM,1
0,2.916482430280494,1.0,GNbc,1
1,1.7559670843660855,45.131253129510526,GNbc,1
2,0.7642781005971765,6.0324877215378665,GNbc,1
3,0.11694381526337518,0.8203711707900376,GNbc,1
4,0.08347746495310901,0.11389315362639646,GNbc,1
5,0.10090708730475483,0.01649166059346955,GNbc,1
6,0.039917655874150644,0.0028861227042381696,GNbc,1
7,0.009348797695376549,0.00041260436075419486,GNbc,1
8,0.0005092705981543784,1.8226437566823623e-05,GNbc,1
9,9.006694614592566e-06,4.348774076926982e-08,GNbc,1
0,2.917221296440292,1.0,GN,1
1,1.7293590812922472,0.20048554542026545,GN,1
2,0.7698198400525171,6.259040634746231,GN,1
3,0.19614039010944415,0.8139270416394246,GN,1
4,0.2913298745374185,0.10973424756921595,GN,1
5,0.4368522944260061,0.015883086066484788,GN,1
6,0.8084035877639726,0.0032606884697922033,GN,1
7,2.538216006726738,0.0011685201529877216,GN,1
8,3.280341679624276,0.03402349408370328,GN,1
9,1.0885617927229265,0.04297598726600123,GN,1
10,1.230678383739759,0.028868732069371426,GN,1
11,4.14921053778803,0.030856800319597682,GN,1
12,1.1110118104934958,0.03605324904511789,GN,1
13,4.802656049087228,0.0290680500204761,GN,1
14,0.9374556794394552,0.019314915659897777,GN,1
15,0.05465986142651549,0.010412526647727275,GN,1
16,0.02034099634870385,0.00047239436386088506,GN,1
17,1.171660110294666e-05,5.6228503412818216e-06,GN,1
18,1.973369796308356e-09,4.621719480253126e-11,GN,1
0,1.0827963375315064,1.0,LM,2
1,0.46142965984741413,0.31865996991212925,LM,2
2,1.0208014888684724,0.02581019889697207,LM,2
3,1.321576119448714,0.017593845159644152,LM,2
4,1.4330823583076178,0.007745371433085047,LM,2
5,0.985199760007384,0.01081688842761728,LM,2
6,1.155832615070076,0.0025025410488460757,LM,2
7,1.3874295553005107,0.0021805112136277856,LM,2
8,4.274272572243703,0.001469451613843756,LM,2
9,4.203310204646755,0.0018457020995707467,LM,2
10,2.9880141084377807,0.0030643277099681775,LM,2
11,2.2574121347933804,0.00398756999390556,LM,2
12,1.8438946699764271,0.0044923075951242225,LM,2
13,1.66064331506059,0.004693814620762641,LM,2
14,1.6294120688855775,0.0047127762439564975,LM,2
15,1.6530606025705088,0.004627971243388143,LM,2
16,1.43917398404696,0.0046230350813013426,LM,2
17,1.1529303532370951,0.004337196842568352,LM,2
18,0.5426147096885029,0.003950790844506938,LM,2
19,0.12587285295783346,0.0030545264285476554,LM,2
20,0.008212032588191167,0.0003202691621958714,LM,2
21,3.578537175492614e-05,5.368276547740363e-07,LM,2
22,6.989795175041249e-07,4.216620347295841e-12,LM,2
0,3.050972669806496,1.0,GNbc,2
1,6.386822633756502,0.16501591355518014,GNbc,2
2,3.661495461369887,0.6376771204876607,GNbc,2
3,4.151211705980557,0.14251056551757377,GNbc,2
4,3.869503084822274,0.10160820771129173,GNbc,2
5,3.798285978407035,0.05213914434454428,GNbc,2
6,16.092710106687875,0.047904484464002896,GNbc,2
7,104.11181825948462,0.042318956665450255,GNbc,2
8,10539.534874571915,0.03650539910389246,GNbc,2
0,3.043868294408584,1.0,GN,2
1,50.237853231174185,3.6841179922851204,GN,2
2,9.592456910768949,0.5919541449938688,GN,2
3,5.808386553084424,0.16430849201989944,GN,2
4,20.35015693330568,60.63985931297884,GN,2
5,1.9374533438351038,7.253799084515299,GN,2
6,8.77827276460785,0.8121272272324587,GN,2
7,0.8045359267947138,0.3111628441900909,GN,2
8,0.702833923557506,0.07387689528371987,GN,2
9,0.1372914693575833,0.024999148718466445,GN,2
10,0.2489384325787229,0.0007251168155335258,GN,2
11,2.371344794380065,0.00033141012888635756,GN,2
12,24.40146262898812,0.00016795279187530057,GN,2
13,176.9901461077803,0.0043908441137363785,GN,2
14,81705.50005892687,0.0009600369559831495,GN,2
0,1.1110660701693333,1.0,LM,3
1,0.4776706202305819,0.32547335133554695,LM,3
2,1.0302656585765535,0.026906664932571874,LM,3
