,dx,dz,method,caso
0,0.86601715425375,1.0,LM,0
1,0.5590928335588499,0.24740921463581375,LM,0
2,0.9560437354488995,0.02647865134780165,LM,0
3,0.9554019462213521,0.014128836304251243,LM,0
4,1.1290118001151623,0.007224941625526692,LM,0
5,1.0238064154563045,0.009503734066771465,LM,0
6,1.02907980123394,0.004386640314524365,LM,0
7,0.642833182542601,0.0046359006750651575,LM,0
8,0.33513392906887746,0.003930025717804349,LM,0
9,0.022814003060928463,0.002540473972121552,LM,0
10,0.0006984642018154573,2.0733618429168074e-05,LM,0
11,3.686214246238092e-06,7.043813260374037e-09,LM,0
0,2.876708462669296,1.0,GNbc,0
1,1.4823480495231582,0.18736055675600638,GNbc,0
2,0.6785718531017974,0.04360475083773944,GNbc,0
3,0.09385873300306005,0.01030195841974733,GNbc,0
4,0.005629806531509062,0.00045253324293466975,GNbc,0
5,2.1671671016493302e-05,1.680987925202926e-06,GNbc,0
6,2.0832391397329065e-07,2.4955965114357992e-11,GNbc,0
0,2.87861025161749,1.0,GN,0
1,1.4730222333353238,0.19896008389205452,GN,0
2,0.6768420326269711,0.04485150172678532,GN,0
3,0.10100125502578519,0.010628432114232218,GN,0
4,0.014640628348975535,0.00064211259985822,GN,0
5,0.0011559488609600291,4.431913611715553e-05,GN,0
6,1.0369768500267756e-05,6.382895202501591e-07,GN,0
7,5.515777721716714e-08,1.349459119691097e-10,GN,0
0,0.8790942477404121,1.0,LM,1
1,0.5302014501460872,0.2576450393136737,LM,1
2,0.9843036060329239,0.024863206394506326,LM,1
3,0.7803595380839685,0.021084078034703663,LM,1
4,1.0256069302375677,0.0040702170861682445,LM,1
5,0.8820648664091144,0.0043428921060618296,LM,1
6,0.979609498963472,0.003711728673164455,LM,1
7,0.8299736284112696,0.005240985830459211,LM,1
8,0.7586164877289817,0.0031692255532951067,LM,1
9,0.5543085319884037,0.0023681998204839972,LM,1
10,0.38409645933052444,0.002032960544513917,LM,1
11,0.15739360221719376,0.001782725655862538,LM,1
12,0.011972804379538012,0.0007307615266806441,LM,1
13,0.0001786942709610279,3.41320845511133e-06,LM,1
14,4.4390771451019264e-07,1.0412843108615575e-09,LM,1
0,2.910748375201716,1.0,GNbc,1
1,1.556154034259952,244.4661508511939,GNbc,1
2,0.7374126938436606,32.347575844635,GNbc,1
3,0.13504334609244145,4.340383537361034,GNbc,1
4,0.031320692578715593,0.6010098157272237,GNbc,1
5,0.0998820792090889,0.08523340380344388,GNbc,1
6,0.08589623901998804,0.013166379809203129,GNbc,1
7,0.033156283412112006,0.002363797589398885,GNbc,1
8,0.006165364918257451,0.0002846033663649332,GNbc,1
9,0.0002068662588886031,7.478241781987408e-06,GNbc,1
10,4.2675823186839495e-06,5.921103563008467e-09,GNbc,1
0,2.911977814524759,1.0,GN,1
1,1.51189490371881,0.4554394397261785,GN,1
2,0.7405216755243131,2.6733880090098943,GN,1
3,0.1323444900564941,0.33388841251189666,GN,1
4,0.029044705640431087,0.04616481348133311,GN,1
5,0.04413635941153545,0.008137855691406798,GN,1
6,0.022866267835817185,0.0014203039542693531,GN,1
7,0.002398233715416871,0.00011328527705002081,GN,1
8,4.03519779053508e-05,9.425025623432671e-07,GN,1
9,1.0914517806807407e-06,5.6979634571033107e-11,GN,1
0,0.910250729678877,1.0,LM,2
1,0.5194214512169734,0.2689776182229529,LM,2
