,dx,dz,method,caso
0,0.8356290500520075,1.0,LM,0
1,0.6270951492606316,0.24476127201043785,LM,0
2,0.8468461503343978,0.04146852700791266,LM,0
3,0.980013237263931,0.02312010104938245,LM,0
4,1.536792972197921,0.00756480238500873,LM,0
5,1.5122752579403567,0.005270096460002082,LM,0
6,1.058074585812753,0.00564847661120812,LM,0
7,0.8966876383280418,0.005582395594399574,LM,0
8,0.7157195264136835,0.003663819319529531,LM,0
9,0.5264523208524787,0.0030868909079953453,LM,0
10,0.24473639425384758,0.0027212622491691344,LM,0
11,0.01297472941716569,0.0011584059961868456,LM,0
12,0.00010167446297784801,5.367109988112491e-06,LM,0
13,2.6019533207755886e-06,1.407486878223923e-10,LM,0
0,4.12570723350354,1.0,GNbc,0
1,1.7450585389860835,0.32760016753999893,GNbc,0
2,1.1120070223395886,0.26027148082701546,GNbc,0
3,0.7044909223808113,0.03420139723539641,GNbc,0
4,1.3288070557352019,0.008467087093081263,GNbc,0
5,0.7184689860928632,0.004790931715881604,GNbc,0
6,0.4862349728239297,0.007482459960967597,GNbc,0
7,0.7462513370644419,0.007514231393218079,GNbc,0
8,0.6695054769048348,0.006619958576723732,GNbc,0
9,0.883856188799572,0.00816198571128625,GNbc,0
10,0.7401739393217204,0.0027175224624975043,GNbc,0
11,0.19912869067595124,0.005686879407437395,GNbc,0
12,0.34226421461961615,0.004136694817598626,GNbc,0
13,2.358883464442573,0.003107393298865413,GNbc,0
14,0.6869566845118619,0.002451715090096548,GNbc,0
15,0.3167051033949369,0.0026916859196747934,GNbc,0
16,0.29371234061580576,0.002307986886545957,GNbc,0
17,0.3557749448253238,0.0017351796202047351,GNbc,0
18,0.1410104485280953,0.0009449768799336128,GNbc,0
19,0.004853956073297935,0.00014056595128078653,GNbc,0
20,9.52583454870667e-05,1.985726098797941e-06,GNbc,0
21,5.824505746898827e-07,5.955467963121252e-10,GNbc,0
0,4.0711858175324975,1.0,GN,0
1,3.193377092780438,0.32139200029985665,GN,0
2,1.6749809136633849,0.10385250431528716,GN,0
3,1.6075302049589342,0.007999962005175155,GN,0
4,1.448193724485866,0.017625854634824346,GN,0
5,0.259230615534647,0.06496837506400512,GN,0
6,0.1078749017712763,0.00873199707661054,GN,0
7,0.042442024822123066,0.0012992961691872128,GN,0
8,0.0068136905796261655,0.0001221873189881608,GN,0
9,0.00011692939542392512,1.5009606327397967e-06,GN,0
10,2.862628693335656e-06,2.4478724536979365e-10,GN,0
0,0.8346727104302004,1.0,LM,1
1,0.5939354505592506,0.24552168211479533,LM,1
2,0.9178568019169888,0.03444161642447155,LM,1
3,1.042736355195059,0.01904229604350037,LM,1
4,1.3933472691596036,0.010520266223488046,LM,1
5,1.759738131916845,0.008211342050565874,LM,1
6,1.4832234716122004,0.005977009383356595,LM,1
7,1.0893073240999915,0.004576852944145796,LM,1
8,0.28926522524658493,0.15257435374118988,LM,1
9,0.6402413668661693,0.0036560523241325324,LM,1
10,0.3140918330956897,0.0024564469363472863,LM,1
11,0.020358509149237113,0.0017517235873127902,LM,1
12,0.0003111043594902394,1.43292315188229e-05,LM,1
13,5.405882976937582e-06,2.0447048933663023e-09,LM,1
0,4.461287625862587,1.0,GNbc,1
1,1.7079830247860253,0.2987523627869611,GNbc,1
2,2.056518905809894,0.089543475641777,GNbc,1
3,0.9814699706803148,0.032573184373993466,GNbc,1
4,0.4817172157284674,0.030485045001422507,GNbc,1
5,0.47832093642995105,0.015705805685077675,GNbc,1
6,0.8193628148266983,0.008558483821290677,GNbc,1
7,0.6972319046163171,0.007237840267342484,GNbc,1
8,0.7996949583224764,0.00876903453230105,GNbc,1
9,0.6451515992525764,0.006985348631593283,GNbc,1
10,0.7247148690626557,0.04659694083794951,GNbc,1
11,0.17471592213582515,0.06991089207660851,GNbc,1
12,0.18584783993996434,0.005462947234847197,GNbc,1
13,0.6816133158297365,0.002637312132012939,GNbc,1
14,4.542940817102336,0.0027018836442319187,GNbc,1
15,47.20508963845037,0.006630333659083879,GNbc,1
16,3563.293389886394,0.005348309260364614,GNbc,1
0,4.407344787987973,1.0,GN,1
1,2.9301968856902705,0.29859199405972336,GN,1
2,1.926536065632786,0.06709620216794489,GN,1
3,3.6252815652612775,0.028317384651266816,GN,1
4,2.9886905707569227,0.06423489391856478,GN,1
5,1.5916889609071996,0.07744948642693533,GN,1
6,1.8738157249678336,0.10670619087583326,GN,1
7,1.3346628220110404,0.028676010768398846,GN,1
8,18.63586026268827,0.015082423460087507,GN,1
9,715.9824773001768,0.02590733493920649,GN,1
10,1483350.4782102886,0.01637041460580216,GN,1
0,0.830278359092508,1.0,LM,2
1,0.5658723469811654,0.24463245721704954,LM,2
2,1.0872110151623724,0.029594875185750436,LM,2
3,1.2123839081717434,0.024566499138898346,LM,2
4,1.8053889313965907,0.011955326677217012,LM,2
5,1.6261487591398889,0.010893243762781385,LM,2
6,0.628217799932726,0.0058847548722834285,LM,2
7,2.17588125145122,0.0037246250832827003,LM,2
8,1.1732059076722408,0.01052141561566665,LM,2
9,0.9262514936636805,0.011061213664238735,LM,2
10,0.44544462633135073,0.015368596549845098,LM,2
11,0.3771301756505284,0.014202711763339183,LM,2
12,0.5380668544878724,0.011338112420176386,LM,2
13,2.363824862768325,0.0027762915012326,LM,2
14,3.5682257271215683,0.0026026777539633903,LM,2
15,0.8442812746076965,0.004254259395331931,LM,2
16,0.37270071895090146,0.0029904327116072344,LM,2
17,0.09421926119762994,0.0014296654614520598,LM,2
18,0.00975255847962718,0.00035339289686331084,LM,2
19,0.00030452399799638444,2.6450654366629485e-05,LM,2
20,3.1232546160735207e-06,1.5057237899671788e-07,LM,2
0,4.404287150608194,1.0,GNbc,2
1,1.9474050154462088,0.17577351096328916,GNbc,2
2,1.9059167010440006,0.1248301361494544,GNbc,2
3,1.3664131192032056,0.10500249582775194,GNbc,2
4,63.64909464439224,0.04610665372174307,GNbc,2
5,1.0564004014232933,0.04429521178523036,GNbc,2
6,1.3712754841803425,0.03616454328025464,GNbc,2
7,1.0498282082801522,0.07750735663823709,GNbc,2
8,0.5406105552800731,0.047932669345025,GNbc,2
9,0.14226226259063446,0.009345746563652994,GNbc,2
10,0.012738232924222244,0.0013599039444333327,GNbc,2
11,0.0002652900428572138,9.034280360210818e-05,GNbc,2
12,1.9572040340204284e-06,6.372706478887874e-07,GNbc,2
0,4.397383075460046,1.0,GN,2
1,7.801045763012461,7.698007972259882,GN,2
2,8.7888277913589,1.1490910318594083,GN,2
3,3.1329751679338766,0.4116833514236079,GN,2
4,9.87870151785387,0.22706464435200371,GN,2
5,9.405674036546518,1.8612354960827928,GN,2
6,29.19006246062279,0.36703848223756375,GN,2
7,1.5832758554551165,0.42337596507869546,GN,2
8,4.39795278127496,0.22821269281755463,GN,2
9,1.3037031951781717,0.20924826274698682,GN,2
10,2.1576494671275297,0.3368402583828547,GN,2
11,0.5343049027550538,0.3209566515342201,GN,2
12,0.6936786144823134,0.1933009504263892,GN,2
13,0.05029198475567425,0.05853102941915627,GN,2
14,0.01101319250540338,0.002531508172415853,GN,2
15,8.287504277761725e-06,1.4449416550519297e-05,GN,2
0,0.8310492457689513,1.0,LM,3
1,0.5637901044973652,0.24482303331775965,LM,3
2,1.0943481577627605,0.02988663194773145,LM,3
3,1.3273089829642384,0.020197306954495238,LM,3
4,1.6479686196782009,0.014326254528928682,LM,3
5,1.1443323281735858,0.011802419737499726,LM,3
6,1.1700555668016537,0.006608511753180646,LM,3
7,1.2877948975166595,0.009033698220269592,LM,3
8,0.7397262429627852,0.01941292243112984,LM,3
9,0.7150589823573352,0.020121092394426516,LM,3
10,0.6101484440742014,0.019865785161972013,LM,3
11,0.3908038317010544,0.005974239872948444,LM,3
12,0.028446826865517794,0.0024112587196908927,LM,3
13,0.0005478523446441127,6.334195199987982e-05,LM,3
14,2.6963018193837735e-06,9.10694146701674e-09,LM,3
0,4.472459556134441,1.0,GNbc,3
1,2.289490196140828,0.18330135826277286,GNbc,3
2,2.7616506701689016,0.20817270249392203,GNbc,3
3,2.3209672241402246,0.2948874603794679,GNbc,3
4,2.801391786767737,0.1848860955010758,GNbc,3
5,2.456609371523658,0.18251375200667785,GNbc,3
6,2.468901914330972,0.22336302772337224,GNbc,3
7,1.4819214047202782,0.13868019656220124,GNbc,3
8,0.6353736467894,0.16089242283284932,GNbc,3
9,0.42938875009816974,0.11814109063705293,GNbc,3
10,0.0159175121183128,0.018356264281390037,GNbc,3
11,0.0006098835770046413,0.00016422161405535343,GNbc,3
12,5.2883698241746775e-06,2.8773844253545638e-08,GNbc,3
0,4.467308363306314,1.0,GN,3
1,3.1802314012920383,25.070780389753644,GN,3
2,3.6887298554838996,3.354642164230295,GN,3
3,3.0350520833533783,0.5658080663154056,GN,3
4,2.8955727770372284,0.4446935706419108,GN,3
5,1.3020474084914688,4.857865162282476,GN,3
6,4.297821162045153,0.598062321841261,GN,3
7,2.6217387257012277,0.11691949619527943,GN,3
8,4.726764514560561,0.02248850977912757,GN,3
9,3.153727334021047,0.014571814035380418,GN,3
10,1.9921974596846594,0.038021942056734544,GN,3
11,2.0031516553287743,0.015377698391302087,GN,3
12,1.023762664151311,0.009694173848542955,GN,3
13,0.645923547762981,0.0011911621192416527,GN,3
14,0.392000340934101,2.326358512143612e-05,GN,3
15,0.24267947914595203,6.000307649038422e-05,GN,3
16,0.14882594154987785,2.3357060015950028e-05,GN,3
17,0.09184093384654636,9.438879379396279e-06,GN,3
18,0.05646402164137046,3.4224157090857474e-06,GN,3
19,0.03479273387948433,1.333864969375694e-06,GN,3
20,0.021409286079064588,4.971282549395122e-07,GN,3
21,0.013185186374493202,1.9041757305888514e-07,GN,3
22,0.008116003827682334,7.171415591183557e-08,GN,3
23,0.004997336591434873,2.7290620996373562e-08,GN,3
24,0.003076440307487656,1.031904407153097e-08,GN,3
25,0.0018941379162416127,3.917240693832184e-09,GN,3
26,0.0011661164478806866,1.4834050203421917e-09,GN,3
27,0.0007179469767352567,5.626011654550112e-10,GN,3
28,0.00044200829505674393,2.13167399346825e-10,GN,3
29,0.000272129825088736,8.082047331699754e-11,GN,3
