,dx,dz,method,caso
0,0.22879738873534003,1.0,LM,0
1,0.409431822258733,0.8035375824231521,LM,0
2,0.5354798146655957,1.691117858043252,LM,0
3,0.5170787180826385,4.421768788279134,LM,0
4,0.38853523962820846,15.756853085348745,LM,0
5,0.29067659011754177,1.8247436632075367,LM,0
6,0.06079770546597602,0.10633399914291551,LM,0
7,0.0009030057303498002,0.0021033011092946806,LM,0
8,8.364664123892232e-08,7.332902822828581e-07,LM,0
0,0.3886801436272188,1.0,GNbc,0
1,0.3257599440247653,0.8727733202476966,GNbc,0
2,0.18091156526987626,1.1069622038323725,GNbc,0
3,0.12273194849995746,1.995675725349663,GNbc,0
4,0.09333463452218706,3.5566788540806633,GNbc,0
5,0.27903109279741556,7.47288962791068,GNbc,0
6,0.021793361236948305,1.2174457569804127,GNbc,0
7,0.0006742969624973085,0.002256423578529082,GNbc,0
8,1.0367030913266906e-07,6.646909590407757e-08,GNbc,0
0,1.52683697790065,1.0,GN,0
1,1.1983834094292016,17.309763675312972,GN,0
2,0.14952183264165836,12.302004955574601,GN,0
3,0.12726442245119426,1.6956077491634347,GN,0
4,0.006813499017811173,0.015270392149654227,GN,0
5,3.091878297496038e-06,2.2773358245330235e-05,GN,0
0,0.23472469221171338,1.0,LM,1
1,0.5593826649238735,0.42542779441582673,LM,1
2,0.6056278191069538,1.4017636490878178,LM,1
3,0.03922984824753705,2853.5640222493257,LM,1
4,0.026943578647948583,11184.775044357435,LM,1
5,0.10882465590704665,920.6266804090676,LM,1
6,0.23888988134358047,140.62619314274323,LM,1
7,0.5952954467523635,12.043475999260343,LM,1
8,0.49607167441256406,5.6081707133143155,LM,1
9,0.11017713475358623,1.1016852738926717,LM,1
10,0.004880405519330753,0.025145238992702358,LM,1
11,1.2231113911262445e-05,8.416473245248919e-05,LM,1
12,4.895931881909783e-11,3.5481635018658883e-10,LM,1
0,0.38205177788553896,1.0,GNbc,1
1,0.32901277606405305,1.2426786591284735,GNbc,1
2,0.7070613562921154,20.2483914695868,GNbc,1
3,0.40177619742648585,0.908379451489451,GNbc,1
4,0.05236761492178755,0.13312184919464812,GNbc,1
5,0.00014139867477264766,0.0016727329286301059,GNbc,1
6,2.0325099848052338e-08,2.4610194958131415e-07,GNbc,1
0,1.567576650094852,1.0,GN,1
1,1.0412271918444864,345.7176572334557,GN,1
2,0.589947683684304,44.6302104715788,GN,1
3,0.1516257557170299,10.458062479185593,GN,1
4,0.05625125133905285,1.820631768333392,GN,1
5,0.0408082866685,0.35498318510271637,GN,1
6,0.0034640087903615047,0.026137575611321306,GN,1
7,1.1124275532344345e-05,0.00011320757401366279,GN,1
8,6.06177035178587e-11,1.1469257210177807e-09,GN,1
0,0.1954120177094859,1.0,LM,2
1,0.5505237985466463,0.26111304456205814,LM,2
2,0.7197457026845827,0.4616306100346836,LM,2
3,0.5099916621805949,6.283665320305221,LM,2
4,0.7698926870362992,3.0805429138681193,LM,2
5,0.5985383780290338,1.592133218326495,LM,2
6,0.2417580600490461,0.7433613973906515,LM,2
7,0.16970524851445157,0.3289136548944433,LM,2
8,0.008123470788485685,0.07743302103008112,LM,2
9,0.0004444685674550841,0.0021837280003795772,LM,2
10,1.0402192739557887e-06,3.825285274565715e-06,LM,2
0,0.3683308760392647,1.0,GNbc,2
1,0.32064456924291196,4.36921549599458,GNbc,2
2,0.34267227166785097,1.3706402673337044,GNbc,2
3,0.3978666103186154,0.7375264999124924,GNbc,2
4,0.048438732388555866,0.25765436774347295,GNbc,2
5,0.002683567360793792,0.051152683630628235,GNbc,2
6,6.763439316711532e-05,0.0009444522697961865,GNbc,2
7,2.928802678068716e-08,3.6950669541317034e-07,GNbc,2
0,1.5750408645174707,1.0,GN,2
1,1.2722855094826164,0.08156546757325113,GN,2
2,0.15186257737863723,0.9555602070989284,GN,2
3,0.07991325268419655,0.06258657299296587,GN,2
4,0.0017471934088271737,0.006634779967301587,GN,2
5,1.2974097215336365e-06,2.9683351486173604e-06,GN,2
0,0.20699949996303846,1.0,LM,3
1,0.5716698431277097,0.2744816846255274,LM,3
2,0.7406282268108432,0.4686900621076866,LM,3
3,0.4307988833082274,9.378662357872427,LM,3
4,0.6505572102663852,4.230578763195636,LM,3
5,0.4953186401648582,1.8350640639837563,LM,3
6,0.23880322944079316,0.7926919672638613,LM,3
7,0.286919442435809,0.3743834170882927,LM,3
8,0.01743612325483321,0.09228651046190582,LM,3
9,0.0007896815977413702,0.0027470967795318324,LM,3
10,2.5586544538966005e-06,7.596236994796899e-06,LM,3
0,0.3502644059290038,1.0,GNbc,3
1,0.3045114029972099,3.3039119495360256,GNbc,3
2,0.17293689045521893,1.0777176434090538,GNbc,3
3,0.25460667542666915,0.6756678675905298,GNbc,3
4,0.3210628784573182,0.44048721312701566,GNbc,3
5,0.026053535152573543,0.0626374531520118,GNbc,3
6,0.00041855547763525343,0.004735584700221856,GNbc,3
7,9.857532134695133e-07,1.2029006535825571e-05,GNbc,3
0,1.4503793180708202,1.0,GN,3
1,1.2950358820055874,25.71732856985232,GN,3
2,0.13005108300765172,3.854264737527595,GN,3
3,0.08341317692977297,0.5880949445936834,GN,3
4,0.012088529423198675,0.026371713298497707,GN,3
5,0.00017975289180722806,0.0014104307826214705,GN,3
6,1.832282056294954e-07,1.0673998213929926e-06,GN,3
