,tipo,de,val,sample,method,scenario
0,x_tcsc,1-14,-0.01026362518432477,0,LM,0
1,B_svc,2,-0.06349045505504138,0,LM,0
2,UPFC_Vsh,5-15,0.9910393185925009,0,LM,0
3,UPFC_tsh,5-15,-0.24856924029658634,0,LM,0
4,UPFC_Vse,5-15,0.10449163558525575,0,LM,0
5,UPFC_tse,5-15,-3.0273845768563588,0,LM,0
0,x_tcsc,1-14,-0.010229794427942963,1,LM,0
1,B_svc,2,-0.06337772366121668,1,LM,0
2,UPFC_Vsh,5-15,0.9908012610968364,1,LM,0
3,UPFC_tsh,5-15,-0.2502939442146635,1,LM,0
4,UPFC_Vse,5-15,0.10385738472009261,1,LM,0
5,UPFC_tse,5-15,-3.0274067251937864,1,LM,0
0,x_tcsc,1-14,-0.010430626845105704,2,LM,0
1,B_svc,2,-0.06285646180214752,2,LM,0
2,UPFC_Vsh,5-15,0.9943951494539902,2,LM,0
3,UPFC_tsh,5-15,-0.2502706249571451,2,LM,0
4,UPFC_Vse,5-15,0.10458646933904192,2,LM,0
5,UPFC_tse,5-15,-3.029104904049391,2,LM,0
0,x_tcsc,1-14,-0.010338955318285286,3,LM,0
1,B_svc,2,-0.06304234440367917,3,LM,0
2,UPFC_Vsh,5-15,0.9935089316791865,3,LM,0
3,UPFC_tsh,5-15,-0.24993518806524778,3,LM,0
4,UPFC_Vse,5-15,0.10528031507785644,3,LM,0
5,UPFC_tse,5-15,-3.0297644182639183,3,LM,0
0,x_tcsc,1-14,-0.01037267390015258,4,LM,0
1,B_svc,2,-0.0630146643228938,4,LM,0
2,UPFC_Vsh,5-15,0.9890446769458664,4,LM,0
3,UPFC_tsh,5-15,-0.24989111771619915,4,LM,0
4,UPFC_Vse,5-15,0.10421044027584503,4,LM,0
5,UPFC_tse,5-15,-3.021517486833633,4,LM,0
0,x_tcsc,1-14,-0.01034967473787736,5,LM,0
1,B_svc,2,-0.06326642742537152,5,LM,0
