,tipo,de,val,sample,method,scenario
0,x_tcsc,1-14,-0.012441513004104898,0,LM,0
1,B_svc,2,-0.06539522122203721,0,LM,0
2,UPFC_Vsh,5-15,0.9900605545963529,0,LM,0
3,UPFC_tsh,5-15,-0.2489362658730277,0,LM,0
4,UPFC_Vse,5-15,0.10409475712111668,0,LM,0
5,UPFC_tse,5-15,-3.0330711079855606,0,LM,0
0,x_tcsc,1-14,-0.01101261703776859,1,LM,0
1,B_svc,2,-0.06373466824313609,1,LM,0
2,UPFC_Vsh,5-15,0.9911588655758753,1,LM,0
3,UPFC_tsh,5-15,-0.2495796366000813,1,LM,0
4,UPFC_Vse,5-15,0.10488100397313099,1,LM,0
5,UPFC_tse,5-15,-3.0265543897509932,1,LM,0
0,x_tcsc,1-14,-0.01102797090697619,2,LM,0
1,B_svc,2,-0.06371925749152207,2,LM,0
2,UPFC_Vsh,5-15,0.992132247100399,2,LM,0
3,UPFC_tsh,5-15,-0.24960915857273316,2,LM,0
4,UPFC_Vse,5-15,0.10442194334573592,2,LM,0
5,UPFC_tse,5-15,-3.022969423593958,2,LM,0
0,x_tcsc,1-14,-0.011128312233710776,3,LM,0
1,B_svc,2,-0.06417030669692686,3,LM,0
2,UPFC_Vsh,5-15,0.9947352451062514,3,LM,0
3,UPFC_tsh,5-15,-0.2491187729076807,3,LM,0
4,UPFC_Vse,5-15,0.10438369627335231,3,LM,0
5,UPFC_tse,5-15,-3.0332258531324907,3,LM,0
0,x_tcsc,1-14,-0.010647441622620884,4,LM,0
1,B_svc,2,-0.06413921305240607,4,LM,0
2,UPFC_Vsh,5-15,0.9891542995961526,4,LM,0
3,UPFC_tsh,5-15,-0.25002772231315545,4,LM,0
4,UPFC_Vse,5-15,0.10405285588190358,4,LM,0
5,UPFC_tse,5-15,-3.029279896001795,4,LM,0
0,x_tcsc,1-14,-0.010202060482370084,5,LM,0
1,B_svc,2,-0.06337006539424897,5,LM,0
2,UPFC_Vsh,5-15,0.9874562804218214,5,LM,0
3,UPFC_tsh,5-15,-0.2511148747903347,5,LM,0
4,UPFC_Vse,5-15,0.10438655085472184,5,LM,0
5,UPFC_tse,5-15,-3.022959154370245,5,LM,0
0,x_tcsc,1-14,-0.010656806353526069,6,LM,0
1,B_svc,2,-0.06308152370713463,6,LM,0
2,UPFC_Vsh,5-15,0.9924672051466418,6,LM,0
3,UPFC_tsh,5-15,-0.2503556566808571,6,LM,0
4,UPFC_Vse,5-15,0.10365348864126776,6,LM,0
5,UPFC_tse,5-15,-3.0269619668669514,6,LM,0
0,x_tcsc,1-14,-0.01012758476976286,7,LM,0
1,B_svc,2,-0.06272807368272312,7,LM,0
2,UPFC_Vsh,5-15,0.9888640598349391,7,LM,0
3,UPFC_tsh,5-15,-0.2506622004314683,7,LM,0
4,UPFC_Vse,5-15,0.10573749639676436,7,LM,0
5,UPFC_tse,5-15,-3.0290899426950353,7,LM,0
0,x_tcsc,1-14,-0.010957754857549887,8,LM,0
1,B_svc,2,-0.06444204754990467,8,LM,0
2,UPFC_Vsh,5-15,0.9894341265714474,8,LM,0
3,UPFC_tsh,5-15,-0.24971880910768568,8,LM,0
4,UPFC_Vse,5-15,0.10376993955101742,8,LM,0
5,UPFC_tse,5-15,-3.0268743572982935,8,LM,0
0,x_tcsc,1-14,-0.011387450659302271,9,LM,0
1,B_svc,2,-0.06312195818511054,9,LM,0
2,UPFC_Vsh,5-15,0.9911563372561195,9,LM,0
3,UPFC_tsh,5-15,-0.24945396681948742,9,LM,0
4,UPFC_Vse,5-15,0.10381547373193253,9,LM,0
5,UPFC_tse,5-15,-3.027941606259625,9,LM,0
0,x_tcsc,1-14,-0.012587570413723303,10,LM,0
1,B_svc,2,-0.06603187679352744,10,LM,0
2,UPFC_Vsh,5-15,0.9896588240186546,10,LM,0
3,UPFC_tsh,5-15,-0.25181318055247337,10,LM,0
4,UPFC_Vse,5-15,0.10448191889967354,10,LM,0
5,UPFC_tse,5-15,-3.0321829459773495,10,LM,0
0,x_tcsc,1-14,-0.011740678648426551,11,LM,0
1,B_svc,2,-0.06428349948231372,11,LM,0
2,UPFC_Vsh,5-15,0.9904767606776274,11,LM,0
3,UPFC_tsh,5-15,-0.2491588898107353,11,LM,0
4,UPFC_Vse,5-15,0.10410625156209716,11,LM,0
5,UPFC_tse,5-15,-3.024117650949314,11,LM,0
0,x_tcsc,1-14,-0.008384036723086774,12,LM,0
1,B_svc,2,-0.06132371534703438,12,LM,0
2,UPFC_Vsh,5-15,0.9893888505633963,12,LM,0
3,UPFC_tsh,5-15,-0.2509193069293813,12,LM,0
4,UPFC_Vse,5-15,0.10442494849749423,12,LM,0
5,UPFC_tse,5-15,-3.0265525401423203,12,LM,0
0,x_tcsc,1-14,-0.00928484951890117,13,LM,0
1,B_svc,2,-0.06215268921034297,13,LM,0
2,UPFC_Vsh,5-15,0.9898397202882581,13,LM,0
3,UPFC_tsh,5-15,-0.2515282689948942,13,LM,0
4,UPFC_Vse,5-15,0.10392670831587808,13,LM,0
5,UPFC_tse,5-15,-3.0322741765610077,13,LM,0
0,x_tcsc,1-14,-0.010888724446672726,14,LM,0
1,B_svc,2,-0.06275406784496226,14,LM,0
2,UPFC_Vsh,5-15,0.9907405783094596,14,LM,0
3,UPFC_tsh,5-15,-0.2503849918126558,14,LM,0
4,UPFC_Vse,5-15,0.1035121645916031,14,LM,0
5,UPFC_tse,5-15,-3.0258215267044517,14,LM,0
0,x_tcsc,1-14,-0.009093103010506273,15,LM,0
1,B_svc,2,-0.06154795238109474,15,LM,0
2,UPFC_Vsh,5-15,0.991411906547157,15,LM,0
3,UPFC_tsh,5-15,-0.2503721861712831,15,LM,0
4,UPFC_Vse,5-15,0.10429200157276612,15,LM,0
5,UPFC_tse,5-15,-3.030122156019549,15,LM,0
0,x_tcsc,1-14,-0.01018276990457114,16,LM,0
1,B_svc,2,-0.06281905337721502,16,LM,0
2,UPFC_Vsh,5-15,0.9912472271843594,16,LM,0
3,UPFC_tsh,5-15,-0.24956582597144286,16,LM,0
4,UPFC_Vse,5-15,0.10423700677097124,16,LM,0
5,UPFC_tse,5-15,-3.0221115043087536,16,LM,0
0,x_tcsc,1-14,-0.01074499679808538,17,LM,0
1,B_svc,2,-0.06370160741784034,17,LM,0
2,UPFC_Vsh,5-15,0.9898556755531492,17,LM,0
3,UPFC_tsh,5-15,-0.2501805529526557,17,LM,0
4,UPFC_Vse,5-15,0.10400189891844239,17,LM,0
5,UPFC_tse,5-15,-3.0282967921928727,17,LM,0
0,x_tcsc,1-14,-0.009580308063441073,18,LM,0
1,B_svc,2,-0.06281445522180666,18,LM,0
2,UPFC_Vsh,5-15,0.9920343738357537,18,LM,0
3,UPFC_tsh,5-15,-0.24953720921516198,18,LM,0
4,UPFC_Vse,5-15,0.10439951422792383,18,LM,0
5,UPFC_tse,5-15,-3.0312655132484583,18,LM,0
0,x_tcsc,1-14,-0.012334701449355391,19,LM,0
1,B_svc,2,-0.06531568516253025,19,LM,0
2,UPFC_Vsh,5-15,0.992048273421123,19,LM,0
3,UPFC_tsh,5-15,-0.24956743282297794,19,LM,0
4,UPFC_Vse,5-15,0.10544787013014383,19,LM,0
5,UPFC_tse,5-15,-3.0264897893412144,19,LM,0
0,x_tcsc,1-14,-0.01175394532591085,20,LM,0
1,B_svc,2,-0.06441374094479548,20,LM,0
2,UPFC_Vsh,5-15,0.9906103811095082,20,LM,0
3,UPFC_tsh,5-15,-0.24992337578768323,20,LM,0
4,UPFC_Vse,5-15,0.10395761877685193,20,LM,0
5,UPFC_tse,5-15,-3.0197183827845473,20,LM,0
0,x_tcsc,1-14,-0.008779349476756192,21,LM,0
1,B_svc,2,-0.06128846921059755,21,LM,0
2,UPFC_Vsh,5-15,0.9905888446386275,21,LM,0
3,UPFC_tsh,5-15,-0.25004812373599755,21,LM,0
4,UPFC_Vse,5-15,0.10450321691534607,21,LM,0
5,UPFC_tse,5-15,-3.0257914817192355,21,LM,0
0,x_tcsc,1-14,-0.010476162172671718,22,LM,0
1,B_svc,2,-0.06268067919621478,22,LM,0
2,UPFC_Vsh,5-15,0.9912986362083012,22,LM,0
