,tipo,de,val,sample,method,scenario
0,x_tcsc,1-14,-0.010328979264448816,ref,PF,0
1,B_svc,2,-0.0630798246430851,ref,PF,0
2,UPFC_Vsh,5-15,0.9911147371945196,ref,PF,0
3,UPFC_tsh,5-15,-0.2503942197382965,ref,PF,0
4,UPFC_Vse,5-15,0.10443317197553856,ref,PF,0
5,UPFC_tse,5-15,-3.0288508937871566,ref,PF,0
0,x_tcsc,1-14,-0.03766301541017655,ref,PF,1
1,B_svc,2,-0.0883630134577014,ref,PF,1
2,UPFC_Vsh,5-15,1.0373268926119532,ref,PF,1
3,UPFC_tsh,5-15,-0.24761748188248903,ref,PF,1
4,UPFC_Vse,5-15,0.09643090642132915,ref,PF,1
5,UPFC_tse,5-15,-3.026430037792992,ref,PF,1
0,x_tcsc,1-14,-0.1257582975830274,ref,PF,2
1,B_svc,2,0.24248634932230437,ref,PF,2
2,UPFC_Vsh,5-15,1.1154625196901835,ref,PF,2
3,UPFC_tsh,5-15,-0.2379033075022235,ref,PF,2
4,UPFC_Vse,5-15,0.06844366658261142,ref,PF,2
5,UPFC_tse,5-15,-3.0397395488019514,ref,PF,2
0,x_tcsc,1-14,-0.1474094294927786,ref,PF,3
1,B_svc,2,0.3902818577820908,ref,PF,3
2,UPFC_Vsh,5-15,1.1151101596010211,ref,PF,3
3,UPFC_tsh,5-15,-0.2359973729397733,ref,PF,3
4,UPFC_Vse,5-15,0.062160344822576374,ref,PF,3
5,UPFC_tse,5-15,-3.050820959247472,ref,PF,3
