,tipo,de,val,sample,method,scenario
0,v,0,1.059670964707858,0,LM,0
1,teta,0,0.0,0,LM,0
2,v,1,1.045013788273442,0,LM,0
3,teta,1,-0.08500416046344737,0,LM,0
4,v,2,0.9998263754102533,0,LM,0
5,teta,2,-0.21380446930770652,0,LM,0
6,v,3,1.0117574393826094,0,LM,0
7,teta,3,-0.17634545362327944,0,LM,0
8,v,4,1.0135613350482766,0,LM,0
9,teta,4,-0.14947082867618627,0,LM,0
10,v,5,1.0485104621747243,0,LM,0
11,teta,5,-0.24530397574745708,0,LM,0
12,v,6,1.055930957943085,0,LM,0
13,teta,6,-0.23149114368752058,0,LM,0
14,v,7,1.0900059212338347,0,LM,0
15,teta,7,-0.23149113447601868,0,LM,0
16,v,8,1.0471724681069852,0,LM,0
17,teta,8,-0.2601399780938863,0,LM,0
18,v,9,1.0399620417882898,0,LM,0
19,teta,9,-0.2627155251119932,0,LM,0
20,v,10,1.040721520005723,0,LM,0
21,teta,10,-0.25649313468080065,0,LM,0
22,v,11,1.0565022895502463,0,LM,0
23,teta,11,-0.2736446170063451,0,LM,0
24,v,12,1.037809544457811,0,LM,0
25,teta,12,-0.2645463938276186,0,LM,0
26,v,13,1.024907660230886,0,LM,0
27,teta,13,-0.27993247117126097,0,LM,0
28,v,14,1.0460628616427208,0,LM,0
29,teta,14,-0.07651173773716559,0,LM,0
30,v,15,1.0877302458435607,0,LM,0
31,teta,15,-0.26300406034294516,0,LM,0
0,v,0,1.0618864474252636,1,LM,0
1,teta,0,0.0,1,LM,0
2,v,1,1.0468012068475212,1,LM,0
3,teta,1,-0.08714042193289494,1,LM,0
4,v,2,1.001805286858586,1,LM,0
5,teta,2,-0.21596025601609742,1,LM,0
6,v,3,1.0136247121454336,1,LM,0
7,teta,3,-0.1780570568953358,1,LM,0
8,v,4,1.0154475481766478,1,LM,0
9,teta,4,-0.15098217113410078,1,LM,0
10,v,5,1.050405578781211,1,LM,0
11,teta,5,-0.24634833501397915,1,LM,0
12,v,6,1.0578079579863535,1,LM,0
