,tipo,de,val,sample,method,scenario
0,v,0,1.0608837807713583,0,LM,0
1,teta,0,0.0,0,LM,0
2,v,1,1.0459640116550681,0,LM,0
3,teta,1,-0.08711742292387988,0,LM,0
4,v,2,1.0009456454515289,0,LM,0
5,teta,2,-0.21644296256417894,0,LM,0
6,v,3,1.0128815906454598,0,LM,0
7,teta,3,-0.177936514067078,0,LM,0
8,v,4,1.0146749165306697,0,LM,0
9,teta,4,-0.15090598941473432,0,LM,0
10,v,5,1.049677642304731,0,LM,0
11,teta,5,-0.2461607918963373,0,LM,0
12,v,6,1.0570012481476567,0,LM,0
13,teta,6,-0.23270098059460023,0,LM,0
14,v,7,1.0909133612771857,0,LM,0
15,teta,7,-0.23270098599114913,0,LM,0
16,v,8,1.048286906805478,0,LM,0
17,teta,8,-0.26115322302682836,0,LM,0
18,v,9,1.0409858013381463,0,LM,0
19,teta,9,-0.26380868014646475,0,LM,0
20,v,10,1.041797485709184,0,LM,0
21,teta,10,-0.2575339080879631,0,LM,0
22,v,11,1.0578536735632926,0,LM,0
23,teta,11,-0.2748623572902876,0,LM,0
24,v,12,1.0388901540531859,0,LM,0
25,teta,12,-0.26557809899994067,0,LM,0
26,v,13,1.026014400024505,0,LM,0
27,teta,13,-0.2809449730078955,0,LM,0
28,v,14,1.0468336774686657,0,LM,0
29,teta,14,-0.08005251155416304,0,LM,0
30,v,15,1.0888466918822721,0,LM,0
31,teta,15,-0.2645248400583014,0,LM,0
0,v,0,1.0597014251031514,1,LM,0
1,teta,0,0.0,1,LM,0
2,v,1,1.0445584643921582,1,LM,0
3,teta,1,-0.08831474208059452,1,LM,0
4,v,2,0.9993970576528582,1,LM,0
5,teta,2,-0.2181310132180476,1,LM,0
6,v,3,1.0113648563858517,1,LM,0
7,teta,3,-0.17947762463799344,1,LM,0
8,v,4,1.0131792368001966,1,LM,0
9,teta,4,-0.15223868219374095,1,LM,0
10,v,5,1.048104798560246,1,LM,0
11,teta,5,-0.24814699238771465,1,LM,0
12,v,6,1.0555337238014146,1,LM,0
13,teta,6,-0.23446467569779836,1,LM,0
14,v,7,1.0896364987017038,1,LM,0
15,teta,7,-0.23446467953287206,1,LM,0
16,v,8,1.0467523663536318,1,LM,0
17,teta,8,-0.2630315151892009,1,LM,0
18,v,9,1.0395276864257237,1,LM,0
19,teta,9,-0.26563989228455936,1,LM,0
20,v,10,1.0403207067724902,1,LM,0
21,teta,10,-0.2593449206464747,1,LM,0
22,v,11,1.0560637153191157,1,LM,0
23,teta,11,-0.276588447949468,1,LM,0
24,v,12,1.0371941068494688,1,LM,0
25,teta,12,-0.2674747291319572,1,LM,0
26,v,13,1.0243325391390654,1,LM,0
27,teta,13,-0.282895183162182,1,LM,0
28,v,14,1.045438581813971,1,LM,0
29,teta,14,-0.0811919105269987,1,LM,0
30,v,15,1.087280208619773,1,LM,0
31,teta,15,-0.2662641000854285,1,LM,0
0,v,0,1.059334855825049,2,LM,0
1,teta,0,0.0,2,LM,0
2,v,1,1.0442371438185443,2,LM,0
3,teta,1,-0.08807306548754135,2,LM,0
4,v,2,0.9992665482990047,2,LM,0
5,teta,2,-0.21730612168431304,2,LM,0
6,v,3,1.0111112382700942,2,LM,0
7,teta,3,-0.17906656208431249,2,LM,0
8,v,4,1.012923573118276,2,LM,0
9,teta,4,-0.15188285586542943,2,LM,0
10,v,5,1.0478623583476943,2,LM,0
11,teta,5,-0.24751100667765122,2,LM,0
12,v,6,1.0552329784169603,2,LM,0
13,teta,6,-0.23402507390695232,2,LM,0
14,v,7,1.089250629060364,2,LM,0
15,teta,7,-0.2340250713003041,2,LM,0
16,v,8,1.046481390416468,2,LM,0
17,teta,8,-0.26257733752705303,2,LM,0
18,v,9,1.0392563435458546,2,LM,0
19,teta,9,-0.26512745192750725,2,LM,0
20,v,10,1.0400193260911548,2,LM,0
21,teta,10,-0.25886210145104277,2,LM,0
22,v,11,1.0558863033437562,2,LM,0
23,teta,11,-0.2760528926533465,2,LM,0
24,v,12,1.0371166408479242,2,LM,0
25,teta,12,-0.26692861754139613,2,LM,0
26,v,13,1.0242864349044931,2,LM,0
27,teta,13,-0.282276294257872,2,LM,0
28,v,14,1.0450960635136566,2,LM,0
29,teta,14,-0.08111143995844053,2,LM,0
30,v,15,1.0870403601121597,2,LM,0
31,teta,15,-0.265630260058801,2,LM,0
0,v,0,1.059893062755828,3,LM,0
1,teta,0,0.0,3,LM,0
2,v,1,1.044834476087345,3,LM,0
3,teta,1,-0.0872432745020252,3,LM,0
4,v,2,0.9997505353975621,3,LM,0
5,teta,2,-0.21680556786731717,3,LM,0
6,v,3,1.0116468468035795,3,LM,0
7,teta,3,-0.17847397995472022,3,LM,0
8,v,4,1.013453957421236,3,LM,0
9,teta,4,-0.15135973499757985,3,LM,0
10,v,5,1.0483837035079466,3,LM,0
11,teta,5,-0.24749098400200356,3,LM,0
12,v,6,1.055837934535884,3,LM,0
13,teta,6,-0.23376837446782098,3,LM,0
14,v,7,1.0899313066040548,3,LM,0
15,teta,7,-0.23376837176326926,3,LM,0
16,v,8,1.04708513892804,3,LM,0
17,teta,8,-0.26249365203016406,3,LM,0
18,v,9,1.039725417520106,3,LM,0
19,teta,9,-0.26510512788540097,3,LM,0
20,v,10,1.0405300307173033,3,LM,0
21,teta,10,-0.2588206599471687,3,LM,0
22,v,11,1.0565327998304752,3,LM,0
23,teta,11,-0.2759192127642758,3,LM,0
24,v,12,1.0377159016707815,3,LM,0
25,teta,12,-0.2668075359866655,3,LM,0
26,v,13,1.0248563377391002,3,LM,0
27,teta,13,-0.28211859521012744,3,LM,0
28,v,14,1.0457124675483593,3,LM,0
29,teta,14,-0.08012568023027798,3,LM,0
30,v,15,1.087626267595909,3,LM,0
31,teta,15,-0.2655206016842395,3,LM,0
0,v,0,1.0624111471494848,4,LM,0
1,teta,0,0.0,4,LM,0
2,v,1,1.047291470142724,4,LM,0
3,teta,1,-0.08788863244614216,4,LM,0
4,v,2,1.0021581305872858,4,LM,0
5,teta,2,-0.2174448794301169,4,LM,0
6,v,3,1.0140986274023536,4,LM,0
7,teta,3,-0.1788983535993884,4,LM,0
8,v,4,1.0159129461948815,4,LM,0
9,teta,4,-0.15173249518611345,4,LM,0
10,v,5,1.0509580424339597,4,LM,0
11,teta,5,-0.24751883927236465,4,LM,0
12,v,6,1.0583157705825277,4,LM,0
13,teta,6,-0.2338876502479923,4,LM,0
14,v,7,1.0923458591819424,4,LM,0
15,teta,7,-0.2338876548721683,4,LM,0
16,v,8,1.0495763367681221,4,LM,0
17,teta,8,-0.2624558029963827,4,LM,0
18,v,9,1.0423388610488336,4,LM,0
19,teta,9,-0.2650263922063439,4,LM,0
20,v,10,1.0431269298559105,4,LM,0
21,teta,10,-0.2587657860479354,4,LM,0
22,v,11,1.059051760297146,4,LM,0
23,teta,11,-0.27618633682563,4,LM,0
24,v,12,1.0402272879732164,4,LM,0
25,teta,12,-0.2670162343959112,4,LM,0
26,v,13,1.027413052004796,4,LM,0
27,teta,13,-0.2821836042113137,4,LM,0
28,v,14,1.0481568197422277,4,LM,0
29,teta,14,-0.08087439121138879,4,LM,0
30,v,15,1.0901512094544765,4,LM,0
31,teta,15,-0.2657620544355655,4,LM,0
0,v,0,1.0587908760160551,5,LM,0
1,teta,0,0.0,5,LM,0
2,v,1,1.0435157376288744,5,LM,0
3,teta,1,-0.08794597638186501,5,LM,0
4,v,2,0.9983585292976924,5,LM,0
5,teta,2,-0.21781002045793535,5,LM,0
6,v,3,1.010427047980864,5,LM,0
7,teta,3,-0.17902449727572559,5,LM,0
8,v,4,1.0122560047602334,5,LM,0
9,teta,4,-0.15181583736727447,5,LM,0
10,v,5,1.047138562566548,5,LM,0
11,teta,5,-0.2475661222023834,5,LM,0
12,v,6,1.0545730370783657,5,LM,0
13,teta,6,-0.23402520653967337,5,LM,0
14,v,7,1.0886943643634797,5,LM,0
15,teta,7,-0.2340251995337245,5,LM,0
16,v,8,1.0457786220378906,5,LM,0
17,teta,8,-0.26259923593992734,5,LM,0
18,v,9,1.0385026247755547,5,LM,0
19,teta,9,-0.2651778504961931,5,LM,0
20,v,10,1.0392940619054003,5,LM,0
21,teta,10,-0.2589001865296455,5,LM,0
22,v,11,1.0553432802074705,5,LM,0
23,teta,11,-0.2762202886753595,5,LM,0
24,v,12,1.0364074728471946,5,LM,0
25,teta,12,-0.2669927390229306,5,LM,0
26,v,13,1.0235203199039908,5,LM,0
27,teta,13,-0.28232016257557624,5,LM,0
28,v,14,1.0443909129501459,5,LM,0
29,teta,14,-0.08087266780522473,5,LM,0
30,v,15,1.0863034734287855,5,LM,0
31,teta,15,-0.2658182069114644,5,LM,0
0,v,0,1.0583232702232968,6,LM,0
1,teta,0,0.0,6,LM,0
2,v,1,1.0435671099758226,6,LM,0
3,teta,1,-0.0863003828338311,6,LM,0
4,v,2,0.9983690658059853,6,LM,0
5,teta,2,-0.21615665745685264,6,LM,0
6,v,3,1.0103497278946503,6,LM,0
7,teta,3,-0.17771565116208163,6,LM,0
8,v,4,1.0121332727203363,6,LM,0
9,teta,4,-0.15068014522752102,6,LM,0
10,v,5,1.0469974372216477,6,LM,0
11,teta,5,-0.24678667579848754,6,LM,0
12,v,6,1.0544683781416408,6,LM,0
13,teta,6,-0.23300886349892128,6,LM,0
14,v,7,1.0884821396876603,6,LM,0
15,teta,7,-0.23300886457565612,6,LM,0
16,v,8,1.045740850230727,6,LM,0
17,teta,8,-0.2617335700326927,6,LM,0
18,v,9,1.0383874929441481,6,LM,0
19,teta,9,-0.26439397609505066,6,LM,0
20,v,10,1.0391383970539922,6,LM,0
21,teta,10,-0.2581166363157039,6,LM,0
22,v,11,1.0551285690940866,6,LM,0
23,teta,11,-0.27493225319082637,6,LM,0
24,v,12,1.0364141891977063,6,LM,0
25,teta,12,-0.26586545425087654,6,LM,0
26,v,13,1.0234533398606906,6,LM,0
27,teta,13,-0.28147003720320857,6,LM,0
28,v,14,1.0444548880492732,6,LM,0
29,teta,14,-0.07913599293400314,6,LM,0
30,v,15,1.086285606970221,6,LM,0
31,teta,15,-0.26460223204024724,6,LM,0
0,v,0,1.059828957259994,7,LM,0
1,teta,0,0.0,7,LM,0
2,v,1,1.0448836195974984,7,LM,0
3,teta,1,-0.0875024194034396,7,LM,0
4,v,2,0.9996588920537427,7,LM,0
5,teta,2,-0.21741702312864247,7,LM,0
6,v,3,1.0116898159765384,7,LM,0
7,teta,3,-0.1786655449475874,7,LM,0
8,v,4,1.0134995566329805,7,LM,0
9,teta,4,-0.15150872769705082,7,LM,0
10,v,5,1.0484695904404178,7,LM,0
11,teta,5,-0.24718809538867817,7,LM,0
12,v,6,1.0559163889812437,7,LM,0
13,teta,6,-0.23367343269745994,7,LM,0
14,v,7,1.0901401439293903,7,LM,0
15,teta,7,-0.23367343701334256,7,LM,0
16,v,8,1.0470873360340294,7,LM,0
17,teta,8,-0.2622511257883194,7,LM,0
18,v,9,1.039797477436142,7,LM,0
19,teta,9,-0.2648627524777527,7,LM,0
20,v,10,1.040614332779701,7,LM,0
21,teta,10,-0.258573387095298,7,LM,0
22,v,11,1.056676658113981,7,LM,0
23,teta,11,-0.27610235743538375,7,LM,0
24,v,12,1.0376888223542342,7,LM,0
25,teta,12,-0.26671220399220347,7,LM,0
26,v,13,1.024826793928874,7,LM,0
27,teta,13,-0.2820695944641588,7,LM,0
28,v,14,1.0457635712121616,7,LM,0
29,teta,14,-0.08039613436153065,7,LM,0
30,v,15,1.0877520439665893,7,LM,0
31,teta,15,-0.2658786009894868,7,LM,0
0,v,0,1.058499623960036,8,LM,0
1,teta,0,0.0,8,LM,0
2,v,1,1.043584154434194,8,LM,0
3,teta,1,-0.08740330047032098,8,LM,0
4,v,2,0.9983681469911513,8,LM,0
5,teta,2,-0.2175802617602136,8,LM,0
6,v,3,1.0103754551894317,8,LM,0
7,teta,3,-0.17878840624695305,8,LM,0
8,v,4,1.0122012575531554,8,LM,0
9,teta,4,-0.15156736182449015,8,LM,0
10,v,5,1.047148196595214,8,LM,0
11,teta,5,-0.24715793471977382,8,LM,0
12,v,6,1.0545559807476943,8,LM,0
13,teta,6,-0.23379238404056515,8,LM,0
14,v,7,1.0887751091936624,8,LM,0
15,teta,7,-0.233792380061864,8,LM,0
16,v,8,1.0457193369518216,8,LM,0
17,teta,8,-0.26236826724269907,8,LM,0
18,v,9,1.0384318795897531,8,LM,0
19,teta,9,-0.2649735389180076,8,LM,0
20,v,10,1.0392459415409958,8,LM,0
21,teta,10,-0.2586629012261435,8,LM,0
22,v,11,1.0553113374607603,8,LM,0
23,teta,11,-0.27565665062123507,8,LM,0
24,v,12,1.0364329276918218,8,LM,0
25,teta,12,-0.26635596492360314,8,LM,0
26,v,13,1.0234508567097091,8,LM,0
27,teta,13,-0.2820919318622935,8,LM,0
28,v,14,1.0444621784409138,8,LM,0
29,teta,14,-0.08029955901632647,8,LM,0
30,v,15,1.0862760705112482,8,LM,0
31,teta,15,-0.2650971892561878,8,LM,0
0,v,0,1.0606195475400972,9,LM,0
1,teta,0,0.0,9,LM,0
2,v,1,1.0452906886088267,9,LM,0
3,teta,1,-0.08875142306190278,9,LM,0
4,v,2,1.0003404376879395,9,LM,0
5,teta,2,-0.21780814851181426,9,LM,0
