,tipo,de,val,sample,method,scenario
0,v,0,0.955,ref,PF,0
1,teta,0,0.17957884875135594,ref,PF,0
2,v,1,0.9713906502793574,ref,PF,0
3,teta,1,0.1892177056586929,ref,PF,0
4,v,2,0.9676808637590342,ref,PF,0
5,teta,2,0.19490907190363238,ref,PF,0
6,v,3,0.998,ref,PF,0
7,teta,3,0.2593734917504212,ref,PF,0
8,v,4,1.001940087865989,ref,PF,0
9,teta,4,0.26707157363483336,ref,PF,0
10,v,5,0.99,ref,PF,0
11,teta,5,0.21992561078421552,ref,PF,0
12,v,6,0.9893259638322948,ref,PF,0
13,teta,6,0.21234706753421564,ref,PF,0
14,v,7,1.015,ref,PF,0
15,teta,7,0.3538522766014203,ref,PF,0
16,v,8,1.0429182051130947,ref,PF,0
17,teta,8,0.4804602943865547,ref,PF,0
18,v,9,1.05,ref,PF,0
19,teta,9,0.6127721193119826,ref,PF,0
20,v,10,0.9847295648021368,ref,PF,0
21,teta,10,0.21536538936047944,ref,PF,0
22,v,11,0.99,ref,PF,0
23,teta,11,0.20638786464666709,ref,PF,0
24,v,12,0.9657757507950585,ref,PF,0
25,teta,12,0.1930256195792331,ref,PF,0
26,v,13,0.9810172217511657,ref,PF,0
27,teta,13,0.1958306416877572,ref,PF,0
28,v,14,0.9602999999999999,ref,PF,0
29,teta,14,0.19625263457533357,ref,PF,0
30,v,15,0.9931450444941397,ref,PF,0
31,teta,15,0.19919981770559456,ref,PF,0
32,v,16,1.023855,ref,PF,0
33,teta,16,0.22552668520672897,ref,PF,0
34,v,17,0.973,ref,PF,0
35,teta,17,0.208034558896519,ref,PF,0
36,v,18,0.962,ref,PF,0
37,teta,18,0.19439826634146798,ref,PF,0
38,v,19,0.9568729697157738,ref,PF,0
39,teta,19,0.2109228644942096,ref,PF,0
40,v,20,0.9576575607123414,ref,PF,0
41,teta,20,0.23952023291430502,ref,PF,0
42,v,21,0.9690176788846893,ref,PF,0
43,teta,21,0.28510397008724514,ref,PF,0
44,v,22,0.9997835405848103,ref,PF,0
45,teta,22,0.372487635686991,ref,PF,0
46,v,23,0.992,ref,PF,0
47,teta,23,0.369749848407487,ref,PF,0
48,v,24,1.05,ref,PF,0
49,teta,24,0.48363310179622016,ref,PF,0
50,v,25,1.015,ref,PF,0
51,teta,25,0.5123114241130207,ref,PF,0
52,v,26,0.968,ref,PF,0
53,teta,26,0.2548485474495489,ref,PF,0
54,v,27,0.9615695841569971,ref,PF,0
55,teta,27,0.22511193692664072,ref,PF,0
56,v,28,0.9632108831297875,ref,PF,0
57,teta,28,0.20819688898168925,ref,PF,0
58,v,29,0.9955535595833123,ref,PF,0
59,teta,29,0.3166431194012052,ref,PF,0
60,v,30,0.967,ref,PF,0
61,teta,30,0.2103807935696649,ref,PF,0
62,v,31,0.963,ref,PF,0
63,teta,31,0.2421444263988554,ref,PF,0
64,v,32,0.9651327397292383,ref,PF,0
65,teta,32,0.1829299928959195,ref,PF,0
66,v,33,0.984,ref,PF,0
67,teta,33,0.1916662342778514,ref,PF,0
68,v,34,0.9802503743444012,ref,PF,0
69,teta,34,0.18377765033953808,ref,PF,0
70,v,35,0.98,ref,PF,0
71,teta,35,0.18373214539306296,ref,PF,0
72,v,36,0.9894807861811763,ref,PF,0
73,teta,36,0.19997106034665954,ref,PF,0
74,v,37,0.9639475109397555,ref,PF,0
75,teta,37,0.2884924904299269,ref,PF,0
76,v,38,0.9570618981266367,ref,PF,0
77,teta,38,0.14528737558249333,ref,PF,0
78,v,39,0.9503999999999999,ref,PF,0
79,teta,39,0.1289462537499364,ref,PF,0
80,v,40,0.9523017030088379,ref,PF,0
81,teta,40,0.12007120192425563,ref,PF,0
82,v,41,0.985,ref,PF,0
83,teta,41,0.14607143345782972,ref,PF,0
84,v,42,0.9785852595352504,ref,PF,0
85,teta,42,0.185846144119681,ref,PF,0
86,v,43,0.9832281415289955,ref,PF,0
87,teta,43,0.24911687900155063,ref,PF,0
88,v,44,0.9860357858580441,ref,PF,0
89,teta,44,0.2783743311184788,ref,PF,0
90,v,45,1.005,ref,PF,0
91,teta,45,0.3254749733782606,ref,PF,0
92,v,46,1.017071785536504,ref,PF,0
93,teta,46,0.3633441022014357,ref,PF,0
94,v,47,1.0206502245601565,ref,PF,0
95,teta,47,0.34961648234491915,ref,PF,0
96,v,48,1.025,ref,PF,0
97,teta,48,0.36684887992154824,ref,PF,0
98,v,49,1.0010625273751215,ref,PF,0
99,teta,49,0.33102835427711835,ref,PF,0
100,v,50,0.9668404633007596,ref,PF,0
101,teta,50,0.2850230985188915,ref,PF,0
102,v,51,0.9567792254331698,ref,PF,0
103,teta,51,0.26830553485777203,ref,PF,0
104,v,52,0.9459633290835485,ref,PF,0
105,teta,52,0.2510788165038081,ref,PF,0
106,v,53,0.955,ref,PF,0
107,teta,53,0.26683666711232945,ref,PF,0
108,v,54,0.952,ref,PF,0
109,teta,54,0.2617032510582118,ref,PF,0
110,v,55,0.954,ref,PF,0
111,teta,55,0.2650033042057611,ref,PF,0
112,v,56,0.9705618586965087,ref,PF,0
113,teta,56,0.28636083130329776,ref,PF,0
114,v,57,0.9590155995526025,ref,PF,0
115,teta,57,0.2713490363208934,ref,PF,0
116,v,58,0.985,ref,PF,0
117,teta,58,0.3375371542729232,ref,PF,0
118,v,59,0.9931509385487814,ref,PF,0
119,teta,59,0.4041270253030075,ref,PF,0
120,v,60,0.995,ref,PF,0
121,teta,60,0.4194328251570591,ref,PF,0
122,v,61,0.998,ref,PF,0
123,teta,61,0.41019304942770424,ref,PF,0
124,v,62,0.9688672493051985,ref,PF,0
125,teta,62,0.39578747895117905,ref,PF,0
126,v,63,0.9838742739752055,ref,PF,0
127,teta,63,0.4262101210651039,ref,PF,0
128,v,64,1.005,ref,PF,0
129,teta,64,0.4785220595957285,ref,PF,0
130,v,65,1.08045,ref,PF,0
131,teta,65,0.4727423531033382,ref,PF,0
132,v,66,1.0629733054755597,ref,PF,0
133,teta,66,0.4317079803887975,ref,PF,0
134,v,67,0.9963379343190936,ref,PF,0
135,teta,67,0.4781524147528966,ref,PF,0
136,v,68,1.035,ref,PF,0
137,teta,68,0.5235987755982988,ref,PF,0
138,v,69,0.984,ref,PF,0
139,teta,69,0.39407370362779026,ref,PF,0
140,v,70,0.9868467198390081,ref,PF,0
141,teta,70,0.3870668950247535,ref,PF,0
142,v,71,0.98,ref,PF,0
143,teta,71,0.36874418157867356,ref,PF,0
144,v,72,0.991,ref,PF,0
145,teta,72,0.3833760727074783,ref,PF,0
146,v,73,0.958,ref,PF,0
147,teta,73,0.37654967927664873,ref,PF,0
148,v,74,0.9663564016168613,ref,PF,0
149,teta,74,0.39860109660865717,ref,PF,0
150,v,75,0.943,ref,PF,0
151,teta,75,0.3770698853975753,ref,PF,0
152,v,76,0.99594,ref,PF,0
153,teta,76,0.46544274146823916,ref,PF,0
154,v,77,0.9944457092681415,ref,PF,0
155,teta,77,0.45951833263047726,ref,PF,0
156,v,78,1.0025043890138225,ref,PF,0
157,teta,78,0.4639867045517138,ref,PF,0
158,v,79,1.04,ref,PF,0
159,teta,79,0.501106438791422,ref,PF,0
160,v,80,0.9925143723635517,ref,PF,0
161,teta,80,0.4870888965487617,ref,PF,0
162,v,81,0.9876585801160407,ref,PF,0
163,teta,81,0.46832646120937693,ref,PF,0
164,v,82,0.9843895788098442,ref,PF,0
165,teta,82,0.4867042715043859,ref,PF,0
166,v,83,0.9796689600827079,ref,PF,0
167,teta,83,0.5326761709382667,ref,PF,0
168,v,84,0.985,ref,PF,0
169,teta,84,0.5606476422305008,ref,PF,0
170,v,85,0.9866907463849477,ref,PF,0
171,teta,85,0.5367462529307291,ref,PF,0
172,v,86,1.015,ref,PF,0
173,teta,86,0.5412703634146367,ref,PF,0
174,v,87,1.0051610076983217,ref,PF,0
175,teta,87,0.6086779553093834,ref,PF,0
176,v,88,1.034145,ref,PF,0
177,teta,88,0.6725072347662595,ref,PF,0
178,v,89,0.985,ref,PF,0
179,teta,89,0.6087121806249073,ref,PF,0
180,v,90,0.98,ref,PF,0
181,teta,90,0.5948636816210919,ref,PF,0
182,v,91,0.9801,ref,PF,0
183,teta,91,0.5858190961205413,ref,PF,0
184,v,92,0.9855252979808774,ref,PF,0
185,teta,92,0.530017337830349,ref,PF,0
186,v,93,0.9987384569543308,ref,PF,0
187,teta,93,0.49053918518990586,ref,PF,0
188,v,94,0.986945268389181,ref,PF,0
189,teta,94,0.47467318505993256,ref,PF,0
190,v,95,0.9958128893981646,ref,PF,0
191,teta,95,0.4728864653476953,ref,PF,0
192,v,96,1.0129699997985613,ref,PF,0
193,teta,96,0.48086945532662684,ref,PF,0
194,v,97,1.0347010478478058,ref,PF,0
195,teta,97,0.4704436445314126,ref,PF,0
196,v,98,1.01,ref,PF,0
197,teta,98,0.46509560435819347,ref,PF,0
198,v,99,1.046493,ref,PF,0
199,teta,99,0.47470956136233305,ref,PF,0
200,v,100,1.0039644522865494,ref,PF,0
201,teta,100,0.5057304834674876,ref,PF,0
202,v,101,0.9865888789190049,ref,PF,0
203,teta,101,0.5568859591210047,ref,PF,0
204,v,102,1.01,ref,PF,0
205,teta,102,0.4225068665536802,ref,PF,0
206,v,103,0.971,ref,PF,0
207,teta,103,0.3811047013645665,ref,PF,0
208,v,104,0.965,ref,PF,0
209,teta,104,0.3604457814859783,ref,PF,0
210,v,105,0.9660344931728134,ref,PF,0
211,teta,105,0.3540905346958712,ref,PF,0
212,v,106,0.952,ref,PF,0
213,teta,106,0.30698424893315457,ref,PF,0
214,v,107,0.9607861483722033,ref,PF,0
215,teta,107,0.3404223555830298,ref,PF,0
216,v,108,0.959374900047085,ref,PF,0
217,teta,108,0.33282748418197594,ref,PF,0
218,v,109,0.9594889316755575,ref,PF,0
219,teta,109,0.3188072947447536,ref,PF,0
220,v,110,0.98,ref,PF,0
221,teta,110,0.3438495028083098,ref,PF,0
222,v,111,0.9405,ref,PF,0
223,teta,111,0.27056729303927307,ref,PF,0
224,v,112,0.98307,ref,PF,0
225,teta,112,0.23565785874166076,ref,PF,0
226,v,113,0.9600856453110111,ref,PF,0
227,teta,113,0.23766346445288514,ref,PF,0
228,v,114,0.9600131521595701,ref,PF,0
229,teta,114,0.23774953410890443,ref,PF,0
230,v,115,0.9949499999999999,ref,PF,0
231,teta,115,0.4706966257976698,ref,PF,0
232,v,116,0.9738244468092152,ref,PF,0
233,teta,116,0.17949233461401926,ref,PF,0
234,v,117,0.9489071170860659,ref,PF,0
235,teta,117,0.3805110213780073,ref,PF,0
236,v,118,0.9965921163341714,ref,PF,0
237,teta,118,0.33365813695344837,ref,PF,0
238,v,119,0.9877002173329821,ref,PF,0
239,teta,119,0.2217988030527657,ref,PF,0
240,v,120,0.9882249019926731,ref,PF,0
241,teta,120,0.5463313957494266,ref,PF,0
242,v,121,1.028495781410417,ref,PF,0
243,teta,121,0.24280789798740612,ref,PF,0
244,v,122,1.1298892869435515,ref,PF,0
245,teta,122,0.4711615766802708,ref,PF,0
246,v,123,1.1246166811654712,ref,PF,0
247,teta,123,0.6905940134101737,ref,PF,0
248,v,124,1.1138666082391062,ref,PF,0
249,teta,124,0.47230030845955695,ref,PF,0
0,v,0,0.955,ref,PF,1
1,teta,0,0.17952890299312604,ref,PF,1
2,v,1,0.971389826934239,ref,PF,1
3,teta,1,0.18925051526779413,ref,PF,1
4,v,2,0.9676792660887713,ref,PF,1
5,teta,2,0.1948244297380288,ref,PF,1
6,v,3,0.998,ref,PF,1
7,teta,3,0.2591215533500433,ref,PF,1
8,v,4,1.0019340311749345,ref,PF,1
9,teta,4,0.26679550290368464,ref,PF,1
10,v,5,0.99,ref,PF,1
11,teta,5,0.21982586607886856,ref,PF,1
12,v,6,0.9893252159447099,ref,PF,1
13,teta,6,0.21231600508385792,ref,PF,1
14,v,7,1.015,ref,PF,1
15,teta,7,0.35328275008247984,ref,PF,1
16,v,8,1.0429182051130947,ref,PF,1
17,teta,8,0.4798907678676144,ref,PF,1
18,v,9,1.05,ref,PF,1
19,teta,9,0.6122025927930425,ref,PF,1
20,v,10,0.9847336704992232,ref,PF,1
21,teta,10,0.21534226776128834,ref,PF,1
22,v,11,0.99,ref,PF,1
23,teta,11,0.2064699162613038,ref,PF,1
24,v,12,0.9657808635260183,ref,PF,1
25,teta,12,0.19313309087246758,ref,PF,1
26,v,13,0.9810180254494325,ref,PF,1
27,teta,13,0.19603557182554499,ref,PF,1
