,type,de,para,zmed,prec
250,2,1,2,-0.1239536,0.02
630,2,10,9,4.5,0.02
402,2,100,101,-0.1615294,0.02
405,2,100,103,1.2201522,0.02
409,2,100,106,0.6045974,0.02
435,2,100,1100,0.558246,0.02
768,2,100,92,-0.3011358,0.02
769,2,100,94,-0.0402633,0.02
772,2,100,98,0.0476254,0.02
773,2,100,99,0.2223074,0.02
416,2,103,110,0.6063295,0.02
780,2,105,103,-0.423268,0.02
782,2,105,104,-0.4813219,0.02
411,2,105,106,0.087829,0.02
413,2,105,108,0.2393307,0.02
784,2,107,105,-0.2633596,0.02
786,2,107,106,-0.2366404,0.02
788,2,110,103,-0.5918113,0.02
789,2,110,109,-0.1357633,0.02
790,2,111,110,0.36,0.02
791,2,112,110,-0.68,0.02
793,2,113,32,-0.0947452,0.02
797,2,116,68,-1.84,0.02
633,2,12,11,-0.3383068,0.02
426,2,12,117,0.2015255,0.02
266,2,12,14,0.1827873,0.02
269,2,12,16,0.0694068,0.02
634,2,12,2,0.327759,0.02
635,2,12,3,0.0994918,0.02
636,2,12,7,-0.1626636,0.02
639,2,15,13,-0.0071915,0.02
640,2,15,14,-0.0417271,0.02
293,2,15,33,0.0772121,0.02
432,2,17,1017,0.809778,0.02
647,2,19,15,-0.1401549,0.02
645,2,19,18,-0.2001038,0.02
274,2,19,20,-0.0731623,0.02
429,2,23,1023,1.15,0.02
653,2,25,26,-0.952983,0.02
423,2,27,115,0.1725607,0.02
660,2,31,17,-0.0955562,0.02
421,2,32,113,0.0972767,0.02
422,2,32,114,0.1282888,0.02
664,2,32,27,-0.0605985,0.02
666,2,34,19,0.0371391,0.02
299,2,34,37,-0.9161849,0.02
309,2,34,43,-0.0163571,0.02
670,2,36,34,-0.3045425,0.02
667,2,36,35,-0.0054575,0.02
259,2,4,11,0.6405233,0.02
674,2,40,37,-0.4357928,0.02
676,2,40,39,-0.2752097,0.02
305,2,40,41,0.1618944,0.02
678,2,42,40,0.1117366,0.02
679,2,42,41,0.2106009,0.02
430,2,44,1044,0.1991,0.02
683,2,46,45,0.3835975,0.02
313,2,46,48,-0.1539086,0.02
688,2,49,45,0.5331133,0.02
318,2,49,50,0.5355043,0.02
319,2,49,51,0.6649504,0.02
694,2,54,53,0.1277516,0.02
698,2,56,55,0.2136315,0.02
327,2,56,57,-0.2288622,0.02
329,2,56,58,-0.0658334,0.02
703,2,59,54,0.3102984,0.02
711,2,59,63,-1.5203827,0.02
626,2,6,5,-0.8735241,0.02
255,2,6,7,0.3535241,0.02
707,2,61,59,0.5273991,0.02
708,2,61,60,1.124261,0.02
338,2,61,62,0.2537795,0.02
713,2,61,64,-0.3054396,0.02
346,2,62,67,-0.2467654,0.02
349,2,65,68,0.1655143,0.02
433,2,66,1066,0.5355,0.02
716,2,66,49,2.7157202,0.02
719,2,66,65,-0.0986991,0.02
722,2,69,47,0.588764,0.02
723,2,69,49,0.4880547,0.02
361,2,69,75,1.1085141,0.02
726,2,70,24,0.0801308,0.02
355,2,70,71,0.1835318,0.02
728,2,72,24,0.0022663,0.02
729,2,72,71,-0.1222663,0.02
730,2,73,71,-0.06,0.02
731,2,74,70,-0.1529116,0.02
428,2,76,118,-0.0647936,0.02
735,2,77,76,0.6359552,0.02
366,2,77,78,0.4543465,0.02
372,2,77,82,-0.0408167,0.02
257,2,8,5,3.378021,0.02
256,2,8,9,-4.4063501,0.02
740,2,80,77,1.4326387,0.02
741,2,80,79,0.6546408,0.02
743,2,80,81,0.4324411,0.02
390,2,80,96,0.1901169,0.02
393,2,80,97,0.2647114,0.02
431,2,85,1085,0.5132,0.02
748,2,85,84,0.3267973,0.02
377,2,85,86,0.1717248,0.02
379,2,85,88,-0.521368,0.02
750,2,87,86,0.04,0.02
434,2,89,1089,1.676982,0.02
752,2,89,85,0.7435232,0.02
753,2,89,88,1.0216219,0.02
384,2,89,92,2.6278729,0.02
755,2,91,90,-0.0010539,0.02
403,2,92,102,0.4403437,0.02
757,2,92,91,0.0994276,0.02
386,2,92,93,0.5646515,0.02
767,2,99,80,-0.1985807,0.02
