,n,convLM,convGN,convGNbc,nitsLM,nitsGN,nitsGNbc,caso
0,0,1,1,0,14,7,30,0
1,1,1,1,1,14,7,13,0
2,2,1,1,0,13,7,30,0
3,3,1,1,0,14,7,30,0
4,4,1,1,0,14,7,30,0
5,5,1,1,1,14,7,14,0
6,6,1,1,1,14,7,15,0
7,7,1,1,1,14,7,26,0
8,8,1,1,1,14,7,16,0
9,9,1,1,1,15,8,16,0
10,0,1,1,1,9,9,9,1
11,1,1,1,1,9,9,9,1
12,2,1,1,1,9,9,9,1
13,3,1,1,1,9,9,9,1
14,4,1,1,1,9,9,9,1
15,5,1,1,1,9,9,9,1
16,6,1,1,1,9,9,9,1
17,7,1,1,1,9,9,9,1
18,8,1,1,1,9,9,8,1
19,9,1,1,1,9,9,8,1
20,0,1,0,0,6,30,30,2
21,1,1,0,0,6,30,30,2
22,2,1,0,0,6,30,30,2
23,3,1,0,0,6,30,30,2
24,4,1,0,0,6,30,30,2
25,5,1,0,0,6,30,30,2
26,6,1,0,0,6,30,30,2
27,7,1,0,0,6,30,30,2
28,8,1,0,0,6,30,30,2
29,9,1,0,0,6,30,30,2
30,0,1,0,0,6,30,30,3
31,1,1,0,0,6,30,30,3
32,2,1,0,0,6,30,30,3
33,3,1,0,0,6,30,30,3
34,4,1,0,0,6,30,30,3
35,5,1,0,0,6,30,30,3
36,6,1,0,0,6,30,30,3
37,7,1,0,0,6,30,30,3
38,8,1,0,0,6,30,30,3
39,9,1,0,0,6,30,30,3
