,type,de,para,zmed,prec
5,0,6,-1,-0.52,0.02
14,0,15,-1,-0.9,0.02
16,0,17,-1,-0.11,0.02
17,0,18,-1,-0.6,0.02
19,0,20,-1,-0.18,0.02
21,0,22,-1,-0.1,0.02
22,0,23,-1,-0.07,0.02
24,0,25,-1,2.2,0.02
25,0,26,-1,3.14,0.02
27,0,28,-1,-0.17,0.02
29,0,30,-1,0.0,0.02
30,0,31,-1,-0.36,0.02
31,0,32,-1,-0.59,0.02
39,0,40,-1,-0.66,0.02
44,0,45,-1,-0.53,0.02
45,0,46,-1,-0.09,0.02
46,0,47,-1,-0.34,0.02
47,0,48,-1,-0.2,0.02
52,0,53,-1,-0.23,0.02
58,0,59,-1,-1.22,0.02
64,0,65,-1,3.91,0.02
65,0,66,-1,3.53,0.02
66,0,67,-1,-0.28,0.02
67,0,68,-1,0.0,0.02
68,0,69,-1,5.1549856,0.02
69,0,70,-1,-0.66,0.02
71,0,72,-1,-0.12,0.02
75,0,76,-1,-0.68,0.02
76,0,77,-1,-0.61,0.02
82,0,83,-1,-0.2,0.02
84,0,85,-1,-0.24,0.02
87,0,88,-1,-0.48,0.02
88,0,89,-1,6.07,0.02
89,0,90,-1,-1.63,0.02
90,0,91,-1,-0.1,0.02
91,0,92,-1,-0.65,0.02
94,0,95,-1,-0.42,0.02
99,0,100,-1,2.15,0.02
102,0,103,-1,0.17,0.02
103,0,104,-1,-0.38,0.02
104,0,105,-1,-0.31,0.02
106,0,107,-1,-0.5,0.02
109,0,110,-1,-0.39,0.02
111,0,112,-1,-0.68,0.02
112,0,113,-1,-0.06,0.02
115,0,116,-1,-1.84,0.02
118,0,1023,-1,0.0,0.02
119,0,1044,-1,0.0,0.02
120,0,1085,-1,0.0,0.02
121,0,1017,-1,0.0,0.02
122,0,1066,-1,0.0,0.02
123,0,1089,-1,0.0,0.02
124,0,1100,-1,0.0,0.02
130,1,6,-1,-0.060725,0.02
139,1,15,-1,-0.3,0.02
141,1,17,-1,-0.03,0.02
